time,Year,Season,North California (38-42N),Central California (34.5-38N),Southern California (32-34.5N)
1992-10-31,1992,OND,2.2881119333121447,3.4535522943402386,1.3509322935169672
1993-01-31,1993,JFM,3.517018431633543,5.649889830056761,2.7732805449342357
1993-04-30,1993,AMJ,8.400240365896643,5.018218224323047,3.6703438464164986
1993-07-31,1993,JAS,-1.4034184533244196,1.1372799959597713,0.4484938789004635
1993-10-31,1993,OND,0.8433041306269848,1.7876944821533185,0.3612741017893821
1994-01-31,1994,JFM,0.6836287843145141,0.7985085146275582,0.34084191017573556
1994-04-30,1994,AMJ,-0.6614954513090752,-1.6130432270060875,-0.7478639573901209
1994-07-31,1994,JAS,-2.010140113487609,-3.563500221861557,-0.3560152324067159
1994-10-31,1994,OND,-2.865244569354248,-2.6766293873691356,-0.0017705250054101456
1995-01-31,1995,JFM,6.516489718105704,6.997359805621981,2.003108195030051
1995-04-30,1995,AMJ,0.7392485435557941,0.8578119443711889,-1.3759401871105426
1995-07-31,1995,JAS,2.3853983215295713,-0.15719124172646892,-0.4190688943553778
1995-10-31,1995,OND,0.7887816216583613,-0.7949788002620208,-0.1540962042100922
1996-01-31,1996,JFM,2.8988889032739937,2.3994395983347294,-0.2599662585005685
1996-04-30,1996,AMJ,-0.5459222416225549,-0.17947744914367866,0.3407346676189498
1996-07-31,1996,JAS,-2.201878376147596,-2.8906576642443707,-1.1992721996281297
1996-10-31,1996,OND,0.48317908553553574,-0.8806597218504193,-0.5184318201137319
1997-01-31,1997,JFM,-1.7703566250708898,-2.4660912336793066,-0.5789340231016096
1997-04-30,1997,AMJ,4.059845650140269,2.6332485285519533,4.206459916682883
1997-07-31,1997,JAS,7.099340300217906,5.738352430129626,4.619653581217538
1997-10-31,1997,OND,7.589815404586073,9.822906947249905,5.371617167045003
1998-01-31,1998,JFM,9.814074196160677,9.393965287436632,5.225791217795436
1998-04-30,1998,AMJ,4.525529605894487,5.862016962173536,0.7923848164238063
1998-07-31,1998,JAS,-1.5718117198301809,0.48642416171773395,0.3185292865817635
1998-10-31,1998,OND,-3.1881383807829904,-6.248011588771514,-3.0118144509068903
1999-01-31,1999,JFM,-2.284604069004011,-5.172917656020435,-3.6258718036169135
1999-04-30,1999,AMJ,-7.695978436433731,-8.0580075750842,-3.9978996157993287
1999-07-31,1999,JAS,-2.7699667359149687,-4.268118061631511,-3.75681917441934
1999-10-31,1999,OND,-4.763183687818516,-5.343215350848368,-3.4836989703026044
2000-01-31,2000,JFM,-0.4522650010504979,-1.2971468854412977,-2.5765966655964285
2000-04-30,2000,AMJ,1.1593036675661754,0.698450650312855,-0.1290962840718349
2000-07-31,2000,JAS,-3.707276873384518,-3.270588653722989,-1.4133381797889684
