"STATE_NAME","RECFIN_YEAR","RECFIN_DATE","COUNTY_NUMBER","INTERVIEW_SITE","RECFIN_PORT_NAME","RECFIN_TRIP_TYPE_NAME","AGENCY_WATER_AREA_NAME","AGENCY_FISHED_AREA_NAME","RECFIN_MODE_NAME","FISHERY_MANAGEMENT_PLAN","STOCK_COMPLEX_NAME","SPECIES_GROUP_NAME","SPECIES_NAME","SCIENTIFIC_NAME","AGENCY_LENGTH","AGENCY_LENGTH_UNITS","IS_AGENCY_LENGTH_WITHIN_MAX","AGENCY_WEIGHT","AGENCY_WEIGHT_UNITS","RECFIN_LENGTH_MM","RECFIN_IMPUTED_LENGTH","RECFIN_LENGTH_TYPE","RECFIN_IMPUTED_WEIGHT_KG","RECFIN_SEX_CODE","RECFIN_SEX_NAME","IS_RETAINED","CAUGHT_BY_OBSERVED_ANGLER","SOURCE_CODE"
"CALIFORNIA",2011,"12/14/2011",37,14,"SOUTH (SAN DIEGO, ORANGE AND LOS ANGELES COUNTIES)","ANYTHING/OTHER SPECIES","NOT KNOWN","","PARTY/CHARTER BOATS","NOT MANAGED","NONE","WRASSES","CALIFORNIA SHEEPHEAD","SEMICOSSYPHUS PULCHER",404,"","T",1.3,"",404,"","",1.2942,"M","MALE","RETAINED","","BIO"
"CALIFORNIA",2011,"12/14/2011",37,14,"SOUTH (SAN DIEGO, ORANGE AND LOS ANGELES COUNTIES)","ANYTHING/OTHER SPECIES","NOT KNOWN","","PARTY/CHARTER BOATS","NOT MANAGED","NONE","WRASSES","CALIFORNIA SHEEPHEAD","SEMICOSSYPHUS PULCHER",316,"","T",.55,"",316,"","",.5856,"T","TRANSITIONAL","RETAINED","","BIO"
"CALIFORNIA",2011,"11/19/2011",59,106,"SOUTH (SAN DIEGO, ORANGE AND LOS ANGELES COUNTIES)","ANYTHING/OTHER SPECIES","NOT KNOWN","","PARTY/CHARTER BOATS","NOT MANAGED","NONE","WRASSES","CALIFORNIA SHEEPHEAD","SEMICOSSYPHUS PULCHER",334,"","T",.69,"",334,"","",.7002,"T","TRANSITIONAL","RETAINED","","BIO"
"CALIFORNIA",2011,"12/14/2011",37,14,"SOUTH (SAN DIEGO, ORANGE AND LOS ANGELES COUNTIES)","ANYTHING/OTHER SPECIES","NOT KNOWN","","PARTY/CHARTER BOATS","NOT MANAGED","NONE","WRASSES","CALIFORNIA SHEEPHEAD","SEMICOSSYPHUS PULCHER",376,"","T",1,"",376,"","",1.0264,"M","MALE","RETAINED","","BIO"
"CALIFORNIA",2011,"12/14/2011",37,14,"SOUTH (SAN DIEGO, ORANGE AND LOS ANGELES COUNTIES)","ANYTHING/OTHER SPECIES","NOT KNOWN","","PARTY/CHARTER BOATS","NOT MANAGED","NONE","WRASSES","CALIFORNIA SHEEPHEAD","SEMICOSSYPHUS PULCHER",316,"","T",.55,"",316,"","",.5856,"T","TRANSITIONAL","RETAINED","","BIO"
"CALIFORNIA",2011,"12/14/2011",37,14,"SOUTH (SAN DIEGO, ORANGE AND LOS ANGELES COUNTIES)","ANYTHING/OTHER SPECIES","NOT KNOWN","","PARTY/CHARTER BOATS","NOT MANAGED","NONE","WRASSES","CALIFORNIA SHEEPHEAD","SEMICOSSYPHUS PULCHER",341,"","T",.85,"",341,"","",.7487,"T","TRANSITIONAL","RETAINED","","BIO"
"CALIFORNIA",2011,"05/06/2011",59,101,"SOUTH (SAN DIEGO, ORANGE AND LOS ANGELES COUNTIES)","BOTTOMFISH","NOT KNOWN","","PARTY/CHARTER BOATS","NOT MANAGED","NONE","WRASSES","CALIFORNIA SHEEPHEAD","SEMICOSSYPHUS PULCHER",399,"","T",1.4,"",399,"","",1.2432,"M","MALE","RETAINED","","BIO"
"CALIFORNIA",2011,"05/06/2011",59,101,"SOUTH (SAN DIEGO, ORANGE AND LOS ANGELES COUNTIES)","BOTTOMFISH","NOT KNOWN","","PARTY/CHARTER BOATS","NOT MANAGED","NONE","WRASSES","CALIFORNIA SHEEPHEAD","SEMICOSSYPHUS PULCHER",336,"","T",.7,"",336,"","",.7138,"F","FEMALE","RETAINED","","BIO"
"CALIFORNIA",2011,"12/04/2011",37,105,"SOUTH (SAN DIEGO, ORANGE AND LOS ANGELES COUNTIES)","NOT KNOWN","OCEAN <= 3 MILES (AREAB AND P1B IMPORT)","","PRIVATE/RENTAL BOATS","NOT MANAGED","NONE","WRASSES","CALIFORNIA SHEEPHEAD","SEMICOSSYPHUS PULCHER",569,"","T",4.2,"",569,"","",3.9096,"M","MALE","RETAINED","","BIO"
"CALIFORNIA",2011,"12/04/2011",37,105,"SOUTH (SAN DIEGO, ORANGE AND LOS ANGELES COUNTIES)","NOT KNOWN","OCEAN <= 3 MILES (AREAB AND P1B IMPORT)","","PRIVATE/RENTAL BOATS","NOT MANAGED","NONE","WRASSES","CALIFORNIA SHEEPHEAD","SEMICOSSYPHUS PULCHER",584,"","T",4.4,"",584,"","",4.2522,"M","MALE","RETAINED","","BIO"
"CALIFORNIA",2011,"12/10/2011",37,10,"SOUTH (SAN DIEGO, ORANGE AND LOS ANGELES COUNTIES)","NOT KNOWN","OCEAN <= 3 MILES (AREAB AND P1B IMPORT)","","PRIVATE/RENTAL BOATS","NOT MANAGED","NONE","WRASSES","CALIFORNIA SHEEPHEAD","SEMICOSSYPHUS PULCHER",321,"","T",.62,"",321,"","",.616,"","","RETAINED","","BIO"
