"STATE_NAME","RECFIN_YEAR","RECFIN_DATE","COUNTY_NUMBER","INTERVIEW_SITE","RECFIN_PORT_NAME","RECFIN_TRIP_TYPE_NAME","AGENCY_WATER_AREA_NAME","AGENCY_FISHED_AREA_NAME","RECFIN_MODE_NAME","FISHERY_MANAGEMENT_PLAN","STOCK_COMPLEX_NAME","SPECIES_GROUP_NAME","SPECIES_NAME","SCIENTIFIC_NAME","AGENCY_LENGTH","AGENCY_LENGTH_UNITS","IS_AGENCY_LENGTH_WITHIN_MAX","AGENCY_WEIGHT","AGENCY_WEIGHT_UNITS","RECFIN_LENGTH_MM","RECFIN_IMPUTED_LENGTH","RECFIN_LENGTH_TYPE","RECFIN_IMPUTED_WEIGHT_KG","RECFIN_SEX_CODE","RECFIN_SEX_NAME","IS_RETAINED","CAUGHT_BY_OBSERVED_ANGLER","SOURCE_CODE"
"CALIFORNIA",2003,"03/05/2003",73,113,"SOUTH (SAN DIEGO, ORANGE AND LOS ANGELES COUNTIES)","INSHORE","NOT KNOWN","","PARTY/CHARTER BOATS","NOT MANAGED","NONE","SEA BASS","KELP BASS","PARALABRAX CLATHRATUS",275,"M","T",.29,"K ",275,"","",.2808,"","","RELEASED","","CPFV"
"CALIFORNIA",2003,"05/09/2003",,,"NOT KNOWN","NOT KNOWN","NOT KNOWN","","PARTY/CHARTER BOATS","NOT MANAGED","NONE","SEA BASS","KELP BASS","PARALABRAX CLATHRATUS",282,"M","T",.311084662,"K ",282,"","",.3048,"","","RELEASED","","CPFV"
"CALIFORNIA",2003,"05/11/2003",,,"NOT KNOWN","NOT KNOWN","NOT KNOWN","","PARTY/CHARTER BOATS","NOT MANAGED","NONE","SEA BASS","KELP BASS","PARALABRAX CLATHRATUS",258,"M","T",.2365395859,"K ",258,"","",.228,"","","RELEASED","","CPFV"
"CALIFORNIA",2003,"05/18/2003",,,"NOT KNOWN","NOT KNOWN","NOT KNOWN","","PARTY/CHARTER BOATS","NOT MANAGED","NONE","SEA BASS","KELP BASS","PARALABRAX CLATHRATUS",305,"M","T",.3960513584,"K ",305,"","",.3936,"","","RELEASED","","CPFV"
"CALIFORNIA",2003,"07/20/2003",,,"NOT KNOWN","NOT KNOWN","NOT KNOWN","","PARTY/CHARTER BOATS","NOT MANAGED","NONE","SEA BASS","KELP BASS","PARALABRAX CLATHRATUS",293,"M","T",.3499951161,"K ",293,"","",.3453,"","","RELEASED","","CPFV"
"CALIFORNIA",2003,"07/20/2003",,,"NOT KNOWN","NOT KNOWN","NOT KNOWN","","PARTY/CHARTER BOATS","NOT MANAGED","NONE","SEA BASS","KELP BASS","PARALABRAX CLATHRATUS",275,"M","T",.2879102416,"K ",275,"","",.2808,"","","RELEASED","","CPFV"
"CALIFORNIA",2003,"08/17/2003",,,"NOT KNOWN","NOT KNOWN","NOT KNOWN","","PARTY/CHARTER BOATS","NOT MANAGED","NONE","SEA BASS","KELP BASS","PARALABRAX CLATHRATUS",295,"M","T",.357405501,"K ",295,"","",.3531,"","","RELEASED","","CPFV"
"CALIFORNIA",2003,"07/24/2003",,,"NOT KNOWN","NOT KNOWN","NOT KNOWN","","PARTY/CHARTER BOATS","NOT MANAGED","NONE","SEA BASS","KELP BASS","PARALABRAX CLATHRATUS",235,"M","T",.1774222715,"K ",235,"","",.1682,"","","RELEASED","","CPFV"
"CALIFORNIA",2003,"11/08/2003",37,202,"SOUTH (SAN DIEGO, ORANGE AND LOS ANGELES COUNTIES)","COASTAL MIGRATORY","OCEAN > 3 MILES","","PARTY/CHARTER BOATS","NOT MANAGED","NONE","SEA BASS","KELP BASS","PARALABRAX CLATHRATUS",251,"M","T",.217325843,"K ",251,"","",.2085,"","","RELEASED","","CPFV"
"CALIFORNIA",2003,"07/20/2003",,,"NOT KNOWN","NOT KNOWN","NOT KNOWN","","PARTY/CHARTER BOATS","NOT MANAGED","NONE","SEA BASS","KELP BASS","PARALABRAX CLATHRATUS",268,"M","T",.2659308257,"K ",268,"","",.2582,"","","RELEASED","","CPFV"
"CALIFORNIA",2003,"07/20/2003",,,"NOT KNOWN","NOT KNOWN","NOT KNOWN","","PARTY/CHARTER BOATS","NOT MANAGED","NONE","SEA BASS","KELP BASS","PARALABRAX CLATHRATUS",218,"M","T",.1407888694,"K ",218,"","",.1316,"","","RELEASED","","CPFV"
"CALIFORNIA",2003,"08/17/2003",,,"NOT KNOWN","NOT KNOWN","NOT KNOWN","","PARTY/CHARTER BOATS","NOT MANAGED","NONE","SEA BASS","KELP BASS","PARALABRAX CLATHRATUS",245,"M","T",.2017199641,"K ",245,"","",.1927,"","","RELEASED","","CPFV"
"CALIFORNIA",2003,"08/17/2003",,,"NOT KNOWN","NOT KNOWN","NOT KNOWN","","PARTY/CHARTER BOATS","NOT MANAGED","NONE","SEA BASS","KELP BASS","PARALABRAX CLATHRATUS",266,"M","T",.2598658893,"K ",266,"","",.2519,"","","RELEASED","","CPFV"
"CALIFORNIA",2003,"11/02/2003",73,113,"SOUTH (SAN DIEGO, ORANGE AND LOS ANGELES COUNTIES)","COASTAL MIGRATORY","OCEAN <= 3 MILES","","PARTY/CHARTER BOATS","NOT MANAGED","NONE","SEA BASS","KELP BASS","PARALABRAX CLATHRATUS",300,"M","T",.3763935489,"K ",300,"","",.373,"","","RELEASED","","CPFV"
"CALIFORNIA",2003,"11/02/2003",73,113,"SOUTH (SAN DIEGO, ORANGE AND LOS ANGELES COUNTIES)","COASTAL MIGRATORY","OCEAN <= 3 MILES","","PARTY/CHARTER BOATS","NOT MANAGED","NONE","SEA BASS","KELP BASS","PARALABRAX CLATHRATUS",295,"M","T",.357405501,"K ",295,"","",.3531,"","","RELEASED","","CPFV"
"CALIFORNIA",2003,"11/02/2003",73,113,"SOUTH (SAN DIEGO, ORANGE AND LOS ANGELES COUNTIES)","COASTAL MIGRATORY","OCEAN <= 3 MILES","","PARTY/CHARTER BOATS","NOT MANAGED","NONE","SEA BASS","KELP BASS","PARALABRAX CLATHRATUS",302,"M","T",.3841756261,"K ",302,"","",.3811,"","","RELEASED","","CPFV"
"CALIFORNIA",2003,"11/02/2003",73,113,"SOUTH (SAN DIEGO, ORANGE AND LOS ANGELES COUNTIES)","COASTAL MIGRATORY","OCEAN <= 3 MILES","","PARTY/CHARTER BOATS","NOT MANAGED","NONE","SEA BASS","KELP BASS","PARALABRAX CLATHRATUS",295,"M","T",.357405501,"K ",295,"","",.3531,"","","RELEASED","","CPFV"
