STATE_NAME,RECFIN_YEAR,RECFIN_DATE,COUNTY_NUMBER,INTERVIEW_SITE,RECFIN_PORT_NAME,RECFIN_TRIP_TYPE_NAME,AGENCY_WATER_AREA_NAME,AGENCY_FISHED_AREA_NAME,RECFIN_MODE_NAME,FISHERY_MANAGEMENT_PLAN,STOCK_COMPLEX_NAME,SPECIES_GROUP_NAME,SPECIES_NAME,SCIENTIFIC_NAME,AGENCY_LENGTH,AGENCY_LENGTH_UNITS,IS_AGENCY_LENGTH_WITHIN_MAX,AGENCY_WEIGHT,AGENCY_WEIGHT_UNITS,RECFIN_LENGTH_MM,RECFIN_IMPUTED_LENGTH,RECFIN_LENGTH_TYPE,RECFIN_IMPUTED_WEIGHT_KG,RECFIN_SEX_CODE,RECFIN_SEX_NAME,IS_RETAINED,SOURCE_CODE
CALIFORNIA,2011,6/25/11,111,308,CHANNEL (VENTURA AND SANTA BARBARA COUNTIES),BOTTOMFISH,NOT KNOWN,,MAN-MADE/JETTY,NOT MANAGED,NONE,SEA BASS,KELP BASS,PARALABRAX CLATHRATUS,417,,T,1.2,,417,,,1.0918,,,RETAINED,BIO
CALIFORNIA,2011,7/23/11,111,104,CHANNEL (VENTURA AND SANTA BARBARA COUNTIES),NOT KNOWN,OCEAN > 3 MILES (AREAB AND P1B IMPORT),,PRIVATE/RENTAL BOATS,NOT MANAGED,NONE,SEA BASS,KELP BASS,PARALABRAX CLATHRATUS,436,,T,1.25,,436,,,1.2626,,,RETAINED,BIO
CALIFORNIA,2011,7/23/11,111,104,CHANNEL (VENTURA AND SANTA BARBARA COUNTIES),NOT KNOWN,OCEAN <= 3 MILES (AREAB AND P1B IMPORT),,PRIVATE/RENTAL BOATS,NOT MANAGED,NONE,SEA BASS,KELP BASS,PARALABRAX CLATHRATUS,309,,T,0.45,,309,,,0.4107,,,RETAINED,BIO
CALIFORNIA,2011,7/23/11,111,104,CHANNEL (VENTURA AND SANTA BARBARA COUNTIES),NOT KNOWN,OCEAN <= 3 MILES (AREAB AND P1B IMPORT),,PRIVATE/RENTAL BOATS,NOT MANAGED,NONE,SEA BASS,KELP BASS,PARALABRAX CLATHRATUS,337,,T,0.51,,337,,,0.545,,,RETAINED,BIO
CALIFORNIA,2011,6/28/11,111,104,CHANNEL (VENTURA AND SANTA BARBARA COUNTIES),NOT KNOWN,OCEAN <= 3 MILES (AREAB AND P1B IMPORT),,PRIVATE/RENTAL BOATS,NOT MANAGED,NONE,SEA BASS,KELP BASS,PARALABRAX CLATHRATUS,350,,T,0.79,,350,,,0.6166,,,RETAINED,BIO
CALIFORNIA,2011,6/28/11,111,104,CHANNEL (VENTURA AND SANTA BARBARA COUNTIES),NOT KNOWN,OCEAN <= 3 MILES (AREAB AND P1B IMPORT),,PRIVATE/RENTAL BOATS,NOT MANAGED,NONE,SEA BASS,KELP BASS,PARALABRAX CLATHRATUS,369,,T,0.8,,369,,,0.7327,,,RETAINED,BIO
CALIFORNIA,2011,6/28/11,111,104,CHANNEL (VENTURA AND SANTA BARBARA COUNTIES),NOT KNOWN,OCEAN <= 3 MILES (AREAB AND P1B IMPORT),,PRIVATE/RENTAL BOATS,NOT MANAGED,NONE,SEA BASS,KELP BASS,PARALABRAX CLATHRATUS,423,,T,1.2,,423,,,1.1439,,,RETAINED,BIO
CALIFORNIA,2011,3/5/11,83,400,CHANNEL (VENTURA AND SANTA BARBARA COUNTIES),NOT KNOWN,OCEAN <= 3 MILES (AREAB AND P1B IMPORT),,PRIVATE/RENTAL BOATS,NOT MANAGED,NONE,SEA BASS,KELP BASS,PARALABRAX CLATHRATUS,400,,T,0.96,,400,,,0.9532,,,RETAINED,BIO
CALIFORNIA,2011,3/5/11,83,400,CHANNEL (VENTURA AND SANTA BARBARA COUNTIES),NOT KNOWN,OCEAN <= 3 MILES (AREAB AND P1B IMPORT),,PRIVATE/RENTAL BOATS,NOT MANAGED,NONE,SEA BASS,KELP BASS,PARALABRAX CLATHRATUS,426,,T,1.5,,426,,,1.1706,,,RETAINED,BIO
CALIFORNIA,2011,3/5/11,83,400,CHANNEL (VENTURA AND SANTA BARBARA COUNTIES),NOT KNOWN,OCEAN <= 3 MILES (AREAB AND P1B IMPORT),,PRIVATE/RENTAL BOATS,NOT MANAGED,NONE,SEA BASS,KELP BASS,PARALABRAX CLATHRATUS,452,,T,1.74,,452,,,1.4201,,,RETAINED,BIO
CALIFORNIA,2011,7/8/11,111,45,CHANNEL (VENTURA AND SANTA BARBARA COUNTIES),ANYTHING/OTHER SPECIES,NOT KNOWN,,PARTY/CHARTER BOATS,NOT MANAGED,NONE,SEA BASS,KELP BASS,PARALABRAX CLATHRATUS,346,,T,,,346,,,0.594,,,RETAINED,BIO
CALIFORNIA,2011,7/8/11,111,45,CHANNEL (VENTURA AND SANTA BARBARA COUNTIES),ANYTHING/OTHER SPECIES,NOT KNOWN,,PARTY/CHARTER BOATS,NOT MANAGED,NONE,SEA BASS,KELP BASS,PARALABRAX CLATHRATUS,365,,T,,,365,,,0.7071,,,RETAINED,BIO
CALIFORNIA,2011,7/8/11,111,45,CHANNEL (VENTURA AND SANTA BARBARA COUNTIES),ANYTHING/OTHER SPECIES,NOT KNOWN,,PARTY/CHARTER BOATS,NOT MANAGED,NONE,SEA BASS,KELP BASS,PARALABRAX CLATHRATUS,428,,T,,,428,,,1.1886,,,RETAINED,BIO
CALIFORNIA,2011,7/8/11,111,45,CHANNEL (VENTURA AND SANTA BARBARA COUNTIES),ANYTHING/OTHER SPECIES,NOT KNOWN,,PARTY/CHARTER BOATS,NOT MANAGED,NONE,SEA BASS,KELP BASS,PARALABRAX CLATHRATUS,431,,T,,,431,,,1.216,,,RETAINED,BIO
CALIFORNIA,2011,7/8/11,111,45,CHANNEL (VENTURA AND SANTA BARBARA COUNTIES),ANYTHING/OTHER SPECIES,NOT KNOWN,,PARTY/CHARTER BOATS,NOT MANAGED,NONE,SEA BASS,KELP BASS,PARALABRAX CLATHRATUS,436,,T,,,436,,,1.2626,,,RETAINED,BIO
CALIFORNIA,2011,7/8/11,111,45,CHANNEL (VENTURA AND SANTA BARBARA COUNTIES),ANYTHING/OTHER SPECIES,NOT KNOWN,,PARTY/CHARTER BOATS,NOT MANAGED,NONE,SEA BASS,KELP BASS,PARALABRAX CLATHRATUS,487,,T,,,487,,,1.8113,,,RETAINED,BIO
CALIFORNIA,2011,7/8/11,111,45,CHANNEL (VENTURA AND SANTA BARBARA COUNTIES),ANYTHING/OTHER SPECIES,NOT KNOWN,,PARTY/CHARTER BOATS,NOT MANAGED,NONE,SEA BASS,KELP BASS,PARALABRAX CLATHRATUS,348,,T,,,348,,,0.6052,,,RETAINED,BIO
