"STATE_NAME","RECFIN_YEAR","RECFIN_DATE","COUNTY_NUMBER","INTERVIEW_SITE","RECFIN_PORT_NAME","RECFIN_TRIP_TYPE_NAME","AGENCY_WATER_AREA_NAME","AGENCY_FISHED_AREA_NAME","RECFIN_MODE_NAME","FISHERY_MANAGEMENT_PLAN","STOCK_COMPLEX_NAME","SPECIES_GROUP_NAME","SPECIES_NAME","SCIENTIFIC_NAME","AGENCY_LENGTH","AGENCY_LENGTH_UNITS","IS_AGENCY_LENGTH_WITHIN_MAX","AGENCY_WEIGHT","AGENCY_WEIGHT_UNITS","RECFIN_LENGTH_MM","RECFIN_IMPUTED_LENGTH","RECFIN_LENGTH_TYPE","RECFIN_IMPUTED_WEIGHT_KG","RECFIN_SEX_CODE","RECFIN_SEX_NAME","IS_RETAINED","SOURCE_CODE"
"CALIFORNIA",2017,"11/09/2017",111,104,"CHANNEL (VENTURA AND SANTA BARBARA COUNTIES)","BOTTOMFISH","OCEAN <= 3 MILES","","PRIVATE/RENTAL BOATS","NOT MANAGED","NONE","SEA BASS","KELP BASS","PARALABRAX CLATHRATUS",391,"","T",,"",391,"","",.885,"","","RETAINED","BIO"
"CALIFORNIA",2017,"11/09/2017",111,104,"CHANNEL (VENTURA AND SANTA BARBARA COUNTIES)","BOTTOMFISH","OCEAN <= 3 MILES","","PRIVATE/RENTAL BOATS","NOT MANAGED","NONE","SEA BASS","KELP BASS","PARALABRAX CLATHRATUS",414,"","T",,"",414,"","",1.0664,"","","RETAINED","BIO"
"CALIFORNIA",2017,"11/09/2017",111,104,"CHANNEL (VENTURA AND SANTA BARBARA COUNTIES)","BOTTOMFISH","OCEAN <= 3 MILES","","PRIVATE/RENTAL BOATS","NOT MANAGED","NONE","SEA BASS","KELP BASS","PARALABRAX CLATHRATUS",441,"","T",,"",441,"","",1.3105,"","","RETAINED","BIO"
"CALIFORNIA",2017,"07/30/2017",111,104,"CHANNEL (VENTURA AND SANTA BARBARA COUNTIES)","COASTAL MIGRATORY","OCEAN <= 3 MILES","","PRIVATE/RENTAL BOATS","NOT MANAGED","NONE","SEA BASS","KELP BASS","PARALABRAX CLATHRATUS",425,"","T",1.5,"",425,"","",1.1617,"","","RETAINED","BIO"
"CALIFORNIA",2017,"01/28/2017",37,105,"SOUTH (SAN DIEGO, ORANGE AND LOS ANGELES COUNTIES)","BOTTOMFISH","OCEAN <= 3 MILES","","PRIVATE/RENTAL BOATS","NOT MANAGED","NONE","SEA BASS","KELP BASS","PARALABRAX CLATHRATUS",414,"","T",1.1,"",414,"","",1.0664,"","","RETAINED","BIO"
"CALIFORNIA",2017,"02/04/2017",37,105,"SOUTH (SAN DIEGO, ORANGE AND LOS ANGELES COUNTIES)","ANYTHING/OTHER SPECIES","INLAND","","PRIVATE/RENTAL BOATS","NOT MANAGED","NONE","SEA BASS","KELP BASS","PARALABRAX CLATHRATUS",347,"","T",.53,"",347,"","",.5996,"","","RETAINED","BIO"
"CALIFORNIA",2017,"05/04/2017",37,110,"SOUTH (SAN DIEGO, ORANGE AND LOS ANGELES COUNTIES)","BOTTOMFISH","OCEAN <= 3 MILES","","PRIVATE/RENTAL BOATS","NOT MANAGED","NONE","SEA BASS","KELP BASS","PARALABRAX CLATHRATUS",331,"","T",.6,"",331,"","",.514,"","","RETAINED","BIO"
"CALIFORNIA",2017,"05/04/2017",37,110,"SOUTH (SAN DIEGO, ORANGE AND LOS ANGELES COUNTIES)","BOTTOMFISH","OCEAN <= 3 MILES","","PRIVATE/RENTAL BOATS","NOT MANAGED","NONE","SEA BASS","KELP BASS","PARALABRAX CLATHRATUS",347,"","T",.51,"",347,"","",.5996,"","","RETAINED","BIO"
"CALIFORNIA",2017,"08/09/2017",111,43,"CHANNEL (VENTURA AND SANTA BARBARA COUNTIES)","BOTTOMFISH","OCEAN <= 3 MILES","","PARTY/CHARTER BOATS","NOT MANAGED","NONE","SEA BASS","KELP BASS","PARALABRAX CLATHRATUS",431,"","T",,"",431,"","",1.216,"","","RETAINED","BIO"
"CALIFORNIA",2017,"08/09/2017",111,43,"CHANNEL (VENTURA AND SANTA BARBARA COUNTIES)","BOTTOMFISH","OCEAN <= 3 MILES","","PARTY/CHARTER BOATS","NOT MANAGED","NONE","SEA BASS","KELP BASS","PARALABRAX CLATHRATUS",504,"","T",,"",504,"","",2.0258,"","","RETAINED","BIO"
"CALIFORNIA",2017,"08/09/2017",111,43,"CHANNEL (VENTURA AND SANTA BARBARA COUNTIES)","BOTTOMFISH","OCEAN <= 3 MILES","","PARTY/CHARTER BOATS","NOT MANAGED","NONE","SEA BASS","KELP BASS","PARALABRAX CLATHRATUS",442,"","T",,"",442,"","",1.3202,"","","RETAINED","BIO"
"CALIFORNIA",2017,"05/04/2017",37,110,"SOUTH (SAN DIEGO, ORANGE AND LOS ANGELES COUNTIES)","BOTTOMFISH","OCEAN <= 3 MILES","","PRIVATE/RENTAL BOATS","NOT MANAGED","NONE","SEA BASS","KELP BASS","PARALABRAX CLATHRATUS",391,"","T",1.1,"",391,"","",.885,"","","RETAINED","BIO"
"CALIFORNIA",2017,"05/20/2017",37,105,"SOUTH (SAN DIEGO, ORANGE AND LOS ANGELES COUNTIES)","COASTAL MIGRATORY","OCEAN <= 3 MILES","","PRIVATE/RENTAL BOATS","NOT MANAGED","NONE","SEA BASS","KELP BASS","PARALABRAX CLATHRATUS",420,"","T",1.3,"",420,"","",1.1177,"","","RETAINED","BIO"
"CALIFORNIA",2017,"05/20/2017",37,105,"SOUTH (SAN DIEGO, ORANGE AND LOS ANGELES COUNTIES)","COASTAL MIGRATORY","OCEAN <= 3 MILES","","PRIVATE/RENTAL BOATS","NOT MANAGED","NONE","SEA BASS","KELP BASS","PARALABRAX CLATHRATUS",440,"","T",1.2,"",440,"","",1.3008,"","","RETAINED","BIO"
"CALIFORNIA",2017,"05/20/2017",37,105,"SOUTH (SAN DIEGO, ORANGE AND LOS ANGELES COUNTIES)","BOTTOMFISH","OCEAN <= 3 MILES","","PRIVATE/RENTAL BOATS","NOT MANAGED","NONE","SEA BASS","KELP BASS","PARALABRAX CLATHRATUS",501,"","T",2,"",501,"","",1.9867,"","","RETAINED","BIO"
"CALIFORNIA",2017,"05/20/2017",37,105,"SOUTH (SAN DIEGO, ORANGE AND LOS ANGELES COUNTIES)","BOTTOMFISH","OCEAN <= 3 MILES","","PRIVATE/RENTAL BOATS","NOT MANAGED","NONE","SEA BASS","KELP BASS","PARALABRAX CLATHRATUS",375,"","T",.8,"",375,"","",.7723,"","","RETAINED","BIO"
"CALIFORNIA",2017,"05/20/2017",37,105,"SOUTH (SAN DIEGO, ORANGE AND LOS ANGELES COUNTIES)","BOTTOMFISH","OCEAN <= 3 MILES","","PRIVATE/RENTAL BOATS","NOT MANAGED","NONE","SEA BASS","KELP BASS","PARALABRAX CLATHRATUS",483,"","T",2,"",483,"","",1.7632,"","","RETAINED","BIO"
"CALIFORNIA",2017,"08/09/2017",111,43,"CHANNEL (VENTURA AND SANTA BARBARA COUNTIES)","BOTTOMFISH","OCEAN <= 3 MILES","","PARTY/CHARTER BOATS","NOT MANAGED","NONE","SEA BASS","KELP BASS","PARALABRAX CLATHRATUS",409,"","T",,"",409,"","",1.025,"","","RETAINED","BIO"
"CALIFORNIA",2017,"08/09/2017",111,43,"CHANNEL (VENTURA AND SANTA BARBARA COUNTIES)","BOTTOMFISH","OCEAN <= 3 MILES","","PARTY/CHARTER BOATS","NOT MANAGED","NONE","SEA BASS","KELP BASS","PARALABRAX CLATHRATUS",347,"","T",,"",347,"","",.5996,"","","RETAINED","BIO"
"CALIFORNIA",2017,"08/09/2017",111,43,"CHANNEL (VENTURA AND SANTA BARBARA COUNTIES)","BOTTOMFISH","OCEAN <= 3 MILES","","PARTY/CHARTER BOATS","NOT MANAGED","NONE","SEA BASS","KELP BASS","PARALABRAX CLATHRATUS",403,"","T",,"",403,"","",.9767,"","","RETAINED","BIO"
"CALIFORNIA",2017,"08/15/2017",111,43,"CHANNEL (VENTURA AND SANTA BARBARA COUNTIES)","COASTAL MIGRATORY","OCEAN <= 3 MILES","","PARTY/CHARTER BOATS","NOT MANAGED","NONE","SEA BASS","KELP BASS","PARALABRAX CLATHRATUS",494,"","T",,"",494,"","",1.8976,"","","RETAINED","BIO"
"CALIFORNIA",2017,"08/20/2017",83,301,"CHANNEL (VENTURA AND SANTA BARBARA COUNTIES)","INSHORE","OCEAN <= 3 MILES","","PRIVATE/RENTAL BOATS","NOT MANAGED","NONE","SEA BASS","KELP BASS","PARALABRAX CLATHRATUS",335,"","T",,"",335,"","",.5346,"","","RETAINED","BIO"
"CALIFORNIA",2017,"09/14/2017",73,113,"SOUTH (SAN DIEGO, ORANGE AND LOS ANGELES COUNTIES)","ANYTHING/OTHER SPECIES","OCEAN <= 3 MILES","","PRIVATE/RENTAL BOATS","NOT MANAGED","NONE","SEA BASS","KELP BASS","PARALABRAX CLATHRATUS",370,"","T",.85,"",370,"","",.7392,"","","RETAINED","BIO"
"CALIFORNIA",2017,"09/14/2017",73,113,"SOUTH (SAN DIEGO, ORANGE AND LOS ANGELES COUNTIES)","ANYTHING/OTHER SPECIES","OCEAN <= 3 MILES","","PRIVATE/RENTAL BOATS","NOT MANAGED","NONE","SEA BASS","KELP BASS","PARALABRAX CLATHRATUS",427,"","T",1.1,"",427,"","",1.1796,"","","RETAINED","BIO"
"CALIFORNIA",2017,"09/14/2017",73,113,"SOUTH (SAN DIEGO, ORANGE AND LOS ANGELES COUNTIES)","ANYTHING/OTHER SPECIES","OCEAN <= 3 MILES","","PRIVATE/RENTAL BOATS","NOT MANAGED","NONE","SEA BASS","KELP BASS","PARALABRAX CLATHRATUS",344,"","T",.56,"",344,"","",.5828,"","","RETAINED","BIO"
"CALIFORNIA",2017,"01/08/2017",73,18,"SOUTH (SAN DIEGO, ORANGE AND LOS ANGELES COUNTIES)","COASTAL MIGRATORY","OCEAN <= 3 MILES","","PARTY/CHARTER BOATS","NOT MANAGED","NONE","SEA BASS","KELP BASS","PARALABRAX CLATHRATUS",400,"","T",.51,"",400,"","",.9532,"","","RETAINED","BIO"
"CALIFORNIA",2017,"09/10/2017",83,400,"CHANNEL (VENTURA AND SANTA BARBARA COUNTIES)","BOTTOMFISH","OCEAN <= 3 MILES","","PRIVATE/RENTAL BOATS","NOT MANAGED","NONE","SEA BASS","KELP BASS","PARALABRAX CLATHRATUS",359,"","T",,"",359,"","",.6699,"","","RETAINED","BIO"
