"STATE_NAME","RECFIN_YEAR","RECFIN_DATE","COUNTY_NUMBER","INTERVIEW_SITE","RECFIN_PORT_NAME","RECFIN_TRIP_TYPE_NAME","AGENCY_WATER_AREA_NAME","AGENCY_FISHED_AREA_NAME","RECFIN_MODE_NAME","FISHERY_MANAGEMENT_PLAN","STOCK_COMPLEX_NAME","SPECIES_GROUP_NAME","SPECIES_NAME","SCIENTIFIC_NAME","AGENCY_LENGTH","AGENCY_LENGTH_UNITS","IS_AGENCY_LENGTH_WITHIN_MAX","AGENCY_WEIGHT","AGENCY_WEIGHT_UNITS","RECFIN_LENGTH_MM","RECFIN_IMPUTED_LENGTH","RECFIN_LENGTH_TYPE","RECFIN_IMPUTED_WEIGHT_KG","RECFIN_SEX_CODE","RECFIN_SEX_NAME","IS_RETAINED","SOURCE_CODE"
"CALIFORNIA",2003,"05/09/2003",,,"NOT KNOWN","NOT KNOWN","NOT KNOWN","","PARTY/CHARTER BOATS","NOT MANAGED","NONE","SEA BASS","BARRED SANDBASS","PARALABRAX NEBULIFER",255,"M","T",.2169347048,"K ",255,"","",.219,"","","RELEASED","CPFV"
"CALIFORNIA",2003,"05/31/2003",,,"NOT KNOWN","NOT KNOWN","NOT KNOWN","","PARTY/CHARTER BOATS","NOT MANAGED","NONE","SEA BASS","BARRED SANDBASS","PARALABRAX NEBULIFER",235,"M","T",.1688142259,"K ",235,"","",.1698,"","","RELEASED","CPFV"
"CALIFORNIA",2003,"06/03/2003",,,"NOT KNOWN","NOT KNOWN","NOT KNOWN","","PARTY/CHARTER BOATS","NOT MANAGED","NONE","SEA BASS","BARRED SANDBASS","PARALABRAX NEBULIFER",241,"M","T",.1824018301,"K ",241,"","",.1837,"","","RELEASED","CPFV"
"CALIFORNIA",2003,"05/18/2003",,,"NOT KNOWN","NOT KNOWN","NOT KNOWN","","PARTY/CHARTER BOATS","NOT MANAGED","NONE","SEA BASS","BARRED SANDBASS","PARALABRAX NEBULIFER",273,"M","T",.2674771518,"K ",273,"","",.271,"","","RELEASED","CPFV"
"CALIFORNIA",2003,"06/14/2003",,,"NOT KNOWN","NOT KNOWN","NOT KNOWN","","PARTY/CHARTER BOATS","NOT MANAGED","NONE","SEA BASS","BARRED SANDBASS","PARALABRAX NEBULIFER",265,"M","T",.2441321199,"K ",265,"","",.247,"","","RELEASED","CPFV"
"CALIFORNIA",2003,"06/26/2003",,,"NOT KNOWN","NOT KNOWN","NOT KNOWN","","PARTY/CHARTER BOATS","NOT MANAGED","NONE","SEA BASS","BARRED SANDBASS","PARALABRAX NEBULIFER",285,"M","T",.305247141,"K ",285,"","",.3099,"","","RELEASED","CPFV"
"CALIFORNIA",2003,"06/21/2003",,,"NOT KNOWN","NOT KNOWN","NOT KNOWN","","PARTY/CHARTER BOATS","NOT MANAGED","NONE","SEA BASS","BARRED SANDBASS","PARALABRAX NEBULIFER",250,"M","T",.2041369701,"K ",250,"","",.2059,"","","RELEASED","CPFV"
"CALIFORNIA",2003,"06/27/2003",,,"NOT KNOWN","NOT KNOWN","NOT KNOWN","","PARTY/CHARTER BOATS","NOT MANAGED","NONE","SEA BASS","BARRED SANDBASS","PARALABRAX NEBULIFER",290,"M","T",.3219911921,"K ",290,"","",.3272,"","","RELEASED","CPFV"
"CALIFORNIA",2003,"06/27/2003",,,"NOT KNOWN","NOT KNOWN","NOT KNOWN","","PARTY/CHARTER BOATS","NOT MANAGED","NONE","SEA BASS","BARRED SANDBASS","PARALABRAX NEBULIFER",286,"M","T",.3085478064,"K ",286,"","",.3133,"","","RELEASED","CPFV"
"CALIFORNIA",2003,"06/27/2003",,,"NOT KNOWN","NOT KNOWN","NOT KNOWN","","PARTY/CHARTER BOATS","NOT MANAGED","NONE","SEA BASS","BARRED SANDBASS","PARALABRAX NEBULIFER",290,"M","T",.3219911921,"K ",290,"","",.3272,"","","RELEASED","CPFV"
