STATE_NAME,RECFIN_YEAR,RECFIN_DATE,COUNTY_NUMBER,INTERVIEW_SITE,RECFIN_PORT_NAME,RECFIN_TRIP_TYPE_NAME,AGENCY_WATER_AREA_NAME,AGENCY_FISHED_AREA_NAME,RECFIN_MODE_NAME,FISHERY_MANAGEMENT_PLAN,STOCK_COMPLEX_NAME,SPECIES_GROUP_NAME,SPECIES_NAME,SCIENTIFIC_NAME,AGENCY_LENGTH,AGENCY_LENGTH_UNITS,IS_AGENCY_LENGTH_WITHIN_MAX,AGENCY_WEIGHT,AGENCY_WEIGHT_UNITS,RECFIN_LENGTH_MM,RECFIN_IMPUTED_LENGTH,RECFIN_LENGTH_TYPE,RECFIN_IMPUTED_WEIGHT_KG,RECFIN_SEX_CODE,RECFIN_SEX_NAME,IS_RETAINED,SOURCE_CODE
CALIFORNIA,2005,7/10/05,37,10,"SOUTH (SAN DIEGO, ORANGE AND LOS ANGELES COUNTIES)",NOT KNOWN,OCEAN,,PRIVATE/RENTAL BOATS,NOT MANAGED,NONE,SEA BASS,BARRED SANDBASS,PARALABRAX NEBULIFER,379,,T,0.73,,379,,,0.7542,,,RETAINED,BIO
CALIFORNIA,2005,7/10/05,37,10,"SOUTH (SAN DIEGO, ORANGE AND LOS ANGELES COUNTIES)",NOT KNOWN,OCEAN,,PRIVATE/RENTAL BOATS,NOT MANAGED,NONE,SEA BASS,BARRED SANDBASS,PARALABRAX NEBULIFER,395,,T,0.99,,395,,,0.858,,,RETAINED,BIO
CALIFORNIA,2005,7/10/05,37,10,"SOUTH (SAN DIEGO, ORANGE AND LOS ANGELES COUNTIES)",NOT KNOWN,OCEAN,,PRIVATE/RENTAL BOATS,NOT MANAGED,NONE,SEA BASS,BARRED SANDBASS,PARALABRAX NEBULIFER,462,,T,1.3,,462,,,1.3989,,,RETAINED,BIO
CALIFORNIA,2005,7/10/05,37,10,"SOUTH (SAN DIEGO, ORANGE AND LOS ANGELES COUNTIES)",NOT KNOWN,OCEAN,,PRIVATE/RENTAL BOATS,NOT MANAGED,NONE,SEA BASS,BARRED SANDBASS,PARALABRAX NEBULIFER,365,,T,,,365,,,0.6706,,,RETAINED,BIO
CALIFORNIA,2005,7/10/05,37,10,"SOUTH (SAN DIEGO, ORANGE AND LOS ANGELES COUNTIES)",NOT KNOWN,OCEAN,,PRIVATE/RENTAL BOATS,NOT MANAGED,NONE,SEA BASS,BARRED SANDBASS,PARALABRAX NEBULIFER,351,,T,0.61,,351,,,0.5936,,,RETAINED,BIO
CALIFORNIA,2005,7/10/05,37,10,"SOUTH (SAN DIEGO, ORANGE AND LOS ANGELES COUNTIES)",NOT KNOWN,OCEAN,,PRIVATE/RENTAL BOATS,NOT MANAGED,NONE,SEA BASS,BARRED SANDBASS,PARALABRAX NEBULIFER,360,,T,0.7,,360,,,0.6423,,,RETAINED,BIO
CALIFORNIA,2005,7/10/05,37,10,"SOUTH (SAN DIEGO, ORANGE AND LOS ANGELES COUNTIES)",NOT KNOWN,OCEAN,,PRIVATE/RENTAL BOATS,NOT MANAGED,NONE,SEA BASS,BARRED SANDBASS,PARALABRAX NEBULIFER,361,,T,0.79,,361,,,0.6479,,,RETAINED,BIO
CALIFORNIA,2005,7/10/05,37,10,"SOUTH (SAN DIEGO, ORANGE AND LOS ANGELES COUNTIES)",NOT KNOWN,OCEAN,,PRIVATE/RENTAL BOATS,NOT MANAGED,NONE,SEA BASS,BARRED SANDBASS,PARALABRAX NEBULIFER,438,,T,1.2,,438,,,1.1844,,,RETAINED,BIO
CALIFORNIA,2005,7/10/05,37,10,"SOUTH (SAN DIEGO, ORANGE AND LOS ANGELES COUNTIES)",NOT KNOWN,OCEAN,,PRIVATE/RENTAL BOATS,NOT MANAGED,NONE,SEA BASS,BARRED SANDBASS,PARALABRAX NEBULIFER,384,,T,1,,384,,,0.7856,,,RETAINED,BIO
CALIFORNIA,2005,7/10/05,37,10,"SOUTH (SAN DIEGO, ORANGE AND LOS ANGELES COUNTIES)",NOT KNOWN,OCEAN,,PRIVATE/RENTAL BOATS,NOT MANAGED,NONE,SEA BASS,BARRED SANDBASS,PARALABRAX NEBULIFER,519,,T,2.3,,519,,,2.011,,,RETAINED,BIO
