"STATE_NAME","RECFIN_YEAR","RECFIN_DATE","COUNTY_NUMBER","INTERVIEW_SITE","RECFIN_PORT_NAME","RECFIN_TRIP_TYPE_NAME","AGENCY_WATER_AREA_NAME","AGENCY_FISHED_AREA_NAME","RECFIN_MODE_NAME","FISHERY_MANAGEMENT_PLAN","STOCK_COMPLEX_NAME","SPECIES_GROUP_NAME","SPECIES_NAME","SCIENTIFIC_NAME","AGENCY_LENGTH","AGENCY_LENGTH_UNITS","IS_AGENCY_LENGTH_WITHIN_MAX","AGENCY_WEIGHT","AGENCY_WEIGHT_UNITS","RECFIN_LENGTH_MM","RECFIN_IMPUTED_LENGTH","RECFIN_LENGTH_TYPE","RECFIN_IMPUTED_WEIGHT_KG","RECFIN_SEX_CODE","RECFIN_SEX_NAME","IS_RETAINED","CAUGHT_BY_OBSERVED_ANGLER","SOURCE_CODE"
"CALIFORNIA",2009,"03/06/2009",73,104,"SOUTH (SAN DIEGO, ORANGE AND LOS ANGELES COUNTIES)","NOT KNOWN","INLAND (AREAB AND P1B IMPORT)","","PRIVATE/RENTAL BOATS","NOT MANAGED","NONE","SEA BASS","BARRED SANDBASS","PARALABRAX NEBULIFER",418,"","T",.94,"",418,"","",1.0237,"","","RETAINED","","BIO"
"CALIFORNIA",2009,"03/06/2009",73,104,"SOUTH (SAN DIEGO, ORANGE AND LOS ANGELES COUNTIES)","NOT KNOWN","OCEAN <= 3 MILES (AREAB AND P1B IMPORT)","","PRIVATE/RENTAL BOATS","NOT MANAGED","NONE","SEA BASS","BARRED SANDBASS","PARALABRAX NEBULIFER",402,"","T",.83,"",402,"","",.9063,"","","RETAINED","","BIO"
"CALIFORNIA",2009,"01/12/2009",73,19,"SOUTH (SAN DIEGO, ORANGE AND LOS ANGELES COUNTIES)","ANYTHING/OTHER SPECIES","NOT KNOWN","","PARTY/CHARTER BOATS","NOT MANAGED","NONE","SEA BASS","BARRED SANDBASS","PARALABRAX NEBULIFER",488,"","T",1.45,"",488,"","",1.6595,"","","RETAINED","","BIO"
"CALIFORNIA",2009,"01/12/2009",73,19,"SOUTH (SAN DIEGO, ORANGE AND LOS ANGELES COUNTIES)","ANYTHING/OTHER SPECIES","NOT KNOWN","","PARTY/CHARTER BOATS","NOT MANAGED","NONE","SEA BASS","BARRED SANDBASS","PARALABRAX NEBULIFER",310,"","T",.35,"",310,"","",.4029,"","","RETAINED","","BIO"
"CALIFORNIA",2009,"01/12/2009",73,19,"SOUTH (SAN DIEGO, ORANGE AND LOS ANGELES COUNTIES)","ANYTHING/OTHER SPECIES","NOT KNOWN","","PARTY/CHARTER BOATS","NOT MANAGED","NONE","SEA BASS","BARRED SANDBASS","PARALABRAX NEBULIFER",355,"","T",.51,"",355,"","",.6149,"","","RETAINED","","BIO"
"CALIFORNIA",2009,"01/17/2009",73,20,"SOUTH (SAN DIEGO, ORANGE AND LOS ANGELES COUNTIES)","ANYTHING/OTHER SPECIES","NOT KNOWN","","PARTY/CHARTER BOATS","NOT MANAGED","NONE","SEA BASS","BARRED SANDBASS","PARALABRAX NEBULIFER",327,"","T",.45,"",327,"","",.4759,"","","RETAINED","","BIO"
"CALIFORNIA",2009,"01/17/2009",73,20,"SOUTH (SAN DIEGO, ORANGE AND LOS ANGELES COUNTIES)","ANYTHING/OTHER SPECIES","NOT KNOWN","","PARTY/CHARTER BOATS","NOT MANAGED","NONE","SEA BASS","BARRED SANDBASS","PARALABRAX NEBULIFER",369,"","T",.62,"",369,"","",.6938,"","","RETAINED","","BIO"
"CALIFORNIA",2009,"10/24/2009",83,400,"CHANNEL (VENTURA AND SANTA BARBARA COUNTIES)","NOT KNOWN","OCEAN > 3 MILES (AREAB AND P1B IMPORT)","","PRIVATE/RENTAL BOATS","NOT MANAGED","NONE","SEA BASS","BARRED SANDBASS","PARALABRAX NEBULIFER",427,"","T",,"",427,"","",1.094,"","","RETAINED","","BIO"
"CALIFORNIA",2009,"10/29/2009",111,45,"CHANNEL (VENTURA AND SANTA BARBARA COUNTIES)","ANYTHING/OTHER SPECIES","NOT KNOWN","","PARTY/CHARTER BOATS","NOT MANAGED","NONE","SEA BASS","BARRED SANDBASS","PARALABRAX NEBULIFER",374,"","T",,"",374,"","",.7235,"","","RETAINED","","BIO"
"CALIFORNIA",2009,"01/17/2009",73,20,"SOUTH (SAN DIEGO, ORANGE AND LOS ANGELES COUNTIES)","ANYTHING/OTHER SPECIES","NOT KNOWN","","PARTY/CHARTER BOATS","NOT MANAGED","NONE","SEA BASS","BARRED SANDBASS","PARALABRAX NEBULIFER",394,"","T",.78,"",394,"","",.8512,"","","RETAINED","","BIO"
"CALIFORNIA",2009,"01/17/2009",73,20,"SOUTH (SAN DIEGO, ORANGE AND LOS ANGELES COUNTIES)","ANYTHING/OTHER SPECIES","NOT KNOWN","","PARTY/CHARTER BOATS","NOT MANAGED","NONE","SEA BASS","BARRED SANDBASS","PARALABRAX NEBULIFER",394,"","T",.81,"",394,"","",.8512,"","","RETAINED","","BIO"
"CALIFORNIA",2009,"01/17/2009",73,20,"SOUTH (SAN DIEGO, ORANGE AND LOS ANGELES COUNTIES)","ANYTHING/OTHER SPECIES","NOT KNOWN","","PARTY/CHARTER BOATS","NOT MANAGED","NONE","SEA BASS","BARRED SANDBASS","PARALABRAX NEBULIFER",442,"","T",1.25,"",442,"","",1.2185,"","","RETAINED","","BIO"
"CALIFORNIA",2009,"01/17/2009",73,20,"SOUTH (SAN DIEGO, ORANGE AND LOS ANGELES COUNTIES)","ANYTHING/OTHER SPECIES","NOT KNOWN","","PARTY/CHARTER BOATS","NOT MANAGED","NONE","SEA BASS","BARRED SANDBASS","PARALABRAX NEBULIFER",344,"","T",.47,"",344,"","",.5574,"","","RETAINED","","BIO"
"CALIFORNIA",2009,"01/17/2009",73,20,"SOUTH (SAN DIEGO, ORANGE AND LOS ANGELES COUNTIES)","ANYTHING/OTHER SPECIES","NOT KNOWN","","PARTY/CHARTER BOATS","NOT MANAGED","NONE","SEA BASS","BARRED SANDBASS","PARALABRAX NEBULIFER",318,"","T",.38,"",318,"","",.4362,"","","RETAINED","","BIO"
"CALIFORNIA",2009,"01/17/2009",73,20,"SOUTH (SAN DIEGO, ORANGE AND LOS ANGELES COUNTIES)","ANYTHING/OTHER SPECIES","NOT KNOWN","","PARTY/CHARTER BOATS","NOT MANAGED","NONE","SEA BASS","BARRED SANDBASS","PARALABRAX NEBULIFER",387,"","T",.77,"",387,"","",.8049,"","","RETAINED","","BIO"
"CALIFORNIA",2009,"01/17/2009",73,20,"SOUTH (SAN DIEGO, ORANGE AND LOS ANGELES COUNTIES)","ANYTHING/OTHER SPECIES","NOT KNOWN","","PARTY/CHARTER BOATS","NOT MANAGED","NONE","SEA BASS","BARRED SANDBASS","PARALABRAX NEBULIFER",405,"","T",.81,"",405,"","",.9276,"","","RETAINED","","BIO"
"CALIFORNIA",2009,"01/17/2009",73,20,"SOUTH (SAN DIEGO, ORANGE AND LOS ANGELES COUNTIES)","ANYTHING/OTHER SPECIES","NOT KNOWN","","PARTY/CHARTER BOATS","NOT MANAGED","NONE","SEA BASS","BARRED SANDBASS","PARALABRAX NEBULIFER",400,"","T",.81,"",400,"","",.8923,"","","RETAINED","","BIO"
"CALIFORNIA",2009,"01/17/2009",73,20,"SOUTH (SAN DIEGO, ORANGE AND LOS ANGELES COUNTIES)","ANYTHING/OTHER SPECIES","NOT KNOWN","","PARTY/CHARTER BOATS","NOT MANAGED","NONE","SEA BASS","BARRED SANDBASS","PARALABRAX NEBULIFER",452,"","T",1.3,"",452,"","",1.3066,"","","RETAINED","","BIO"
"CALIFORNIA",2009,"02/03/2009",73,19,"SOUTH (SAN DIEGO, ORANGE AND LOS ANGELES COUNTIES)","ANYTHING/OTHER SPECIES","NOT KNOWN","","PARTY/CHARTER BOATS","NOT MANAGED","NONE","SEA BASS","BARRED SANDBASS","PARALABRAX NEBULIFER",436,"","T",1.1,"",436,"","",1.1676,"","","RETAINED","","BIO"
"CALIFORNIA",2009,"10/29/2009",111,45,"CHANNEL (VENTURA AND SANTA BARBARA COUNTIES)","ANYTHING/OTHER SPECIES","NOT KNOWN","","PARTY/CHARTER BOATS","NOT MANAGED","NONE","SEA BASS","BARRED SANDBASS","PARALABRAX NEBULIFER",395,"","T",,"",395,"","",.858,"","","RETAINED","","BIO"
"CALIFORNIA",2009,"02/03/2009",73,19,"SOUTH (SAN DIEGO, ORANGE AND LOS ANGELES COUNTIES)","ANYTHING/OTHER SPECIES","NOT KNOWN","","PARTY/CHARTER BOATS","NOT MANAGED","NONE","SEA BASS","BARRED SANDBASS","PARALABRAX NEBULIFER",392,"","T",.69,"",392,"","",.8378,"","","RETAINED","","BIO"
"CALIFORNIA",2009,"02/03/2009",73,19,"SOUTH (SAN DIEGO, ORANGE AND LOS ANGELES COUNTIES)","ANYTHING/OTHER SPECIES","NOT KNOWN","","PARTY/CHARTER BOATS","NOT MANAGED","NONE","SEA BASS","BARRED SANDBASS","PARALABRAX NEBULIFER",327,"","T",.36,"",327,"","",.4759,"","","RETAINED","","BIO"
"CALIFORNIA",2009,"10/31/2009",111,104,"CHANNEL (VENTURA AND SANTA BARBARA COUNTIES)","NOT KNOWN","OCEAN <= 3 MILES (AREAB AND P1B IMPORT)","","PRIVATE/RENTAL BOATS","NOT MANAGED","NONE","SEA BASS","BARRED SANDBASS","PARALABRAX NEBULIFER",344,"","T",,"",344,"","",.5574,"","","RETAINED","","BIO"
"CALIFORNIA",2009,"02/22/2009",73,104,"SOUTH (SAN DIEGO, ORANGE AND LOS ANGELES COUNTIES)","NOT KNOWN","INLAND (AREAB AND P1B IMPORT)","","PRIVATE/RENTAL BOATS","NOT MANAGED","NONE","SEA BASS","BARRED SANDBASS","PARALABRAX NEBULIFER",337,"","T",.63,"",337,"","",.5228,"","","RETAINED","","BIO"
"CALIFORNIA",2009,"02/22/2009",73,104,"SOUTH (SAN DIEGO, ORANGE AND LOS ANGELES COUNTIES)","NOT KNOWN","INLAND (AREAB AND P1B IMPORT)","","PRIVATE/RENTAL BOATS","NOT MANAGED","NONE","SEA BASS","BARRED SANDBASS","PARALABRAX NEBULIFER",318,"","T",.44,"",318,"","",.4362,"","","RETAINED","","BIO"
"CALIFORNIA",2009,"02/22/2009",73,104,"SOUTH (SAN DIEGO, ORANGE AND LOS ANGELES COUNTIES)","NOT KNOWN","INLAND (AREAB AND P1B IMPORT)","","PRIVATE/RENTAL BOATS","NOT MANAGED","NONE","SEA BASS","BARRED SANDBASS","PARALABRAX NEBULIFER",371,"","T",.59,"",371,"","",.7056,"","","RETAINED","","BIO"
"CALIFORNIA",2009,"02/22/2009",73,104,"SOUTH (SAN DIEGO, ORANGE AND LOS ANGELES COUNTIES)","NOT KNOWN","INLAND (AREAB AND P1B IMPORT)","","PRIVATE/RENTAL BOATS","NOT MANAGED","NONE","SEA BASS","BARRED SANDBASS","PARALABRAX NEBULIFER",343,"","T",.54,"",343,"","",.5524,"","","RETAINED","","BIO"
"CALIFORNIA",2009,"02/22/2009",73,104,"SOUTH (SAN DIEGO, ORANGE AND LOS ANGELES COUNTIES)","NOT KNOWN","INLAND (AREAB AND P1B IMPORT)","","PRIVATE/RENTAL BOATS","NOT MANAGED","NONE","SEA BASS","BARRED SANDBASS","PARALABRAX NEBULIFER",423,"","T",1.05,"",423,"","",1.0624,"","","RETAINED","","BIO"
"CALIFORNIA",2009,"02/22/2009",73,104,"SOUTH (SAN DIEGO, ORANGE AND LOS ANGELES COUNTIES)","NOT KNOWN","INLAND (AREAB AND P1B IMPORT)","","PRIVATE/RENTAL BOATS","NOT MANAGED","NONE","SEA BASS","BARRED SANDBASS","PARALABRAX NEBULIFER",438,"","T",1.2,"",438,"","",1.1844,"","","RETAINED","","BIO"
"CALIFORNIA",2009,"02/22/2009",73,104,"SOUTH (SAN DIEGO, ORANGE AND LOS ANGELES COUNTIES)","NOT KNOWN","INLAND (AREAB AND P1B IMPORT)","","PRIVATE/RENTAL BOATS","NOT MANAGED","NONE","SEA BASS","BARRED SANDBASS","PARALABRAX NEBULIFER",453,"","T",1.25,"",453,"","",1.3156,"","","RETAINED","","BIO"
"CALIFORNIA",2009,"02/22/2009",73,104,"SOUTH (SAN DIEGO, ORANGE AND LOS ANGELES COUNTIES)","NOT KNOWN","INLAND (AREAB AND P1B IMPORT)","","PRIVATE/RENTAL BOATS","NOT MANAGED","NONE","SEA BASS","BARRED SANDBASS","PARALABRAX NEBULIFER",389,"","T",.78,"",389,"","",.818,"","","RETAINED","","BIO"
"CALIFORNIA",2009,"02/22/2009",73,104,"SOUTH (SAN DIEGO, ORANGE AND LOS ANGELES COUNTIES)","NOT KNOWN","INLAND (AREAB AND P1B IMPORT)","","PRIVATE/RENTAL BOATS","NOT MANAGED","NONE","SEA BASS","BARRED SANDBASS","PARALABRAX NEBULIFER",392,"","T",.88,"",392,"","",.8378,"","","RETAINED","","BIO"
"CALIFORNIA",2009,"02/22/2009",73,104,"SOUTH (SAN DIEGO, ORANGE AND LOS ANGELES COUNTIES)","NOT KNOWN","OCEAN <= 3 MILES (AREAB AND P1B IMPORT)","","PRIVATE/RENTAL BOATS","NOT MANAGED","NONE","SEA BASS","BARRED SANDBASS","PARALABRAX NEBULIFER",456,"","T",,"",456,"","",1.343,"","","RETAINED","","BIO"
"CALIFORNIA",2009,"11/07/2009",59,101,"SOUTH (SAN DIEGO, ORANGE AND LOS ANGELES COUNTIES)","BOTTOMFISH","OCEAN <= 3 MILES","","PARTY/CHARTER BOATS","NOT MANAGED","NONE","SEA BASS","BARRED SANDBASS","PARALABRAX NEBULIFER",383,"","T",.81,"",383,"","",.7793,"","","RETAINED","","BIO"
"CALIFORNIA",2009,"11/07/2009",59,101,"SOUTH (SAN DIEGO, ORANGE AND LOS ANGELES COUNTIES)","ANYTHING/OTHER SPECIES","NOT KNOWN","","PARTY/CHARTER BOATS","NOT MANAGED","NONE","SEA BASS","BARRED SANDBASS","PARALABRAX NEBULIFER",362,"","T",.52,"",362,"","",.6535,"","","RETAINED","","BIO"
"CALIFORNIA",2009,"11/07/2009",59,101,"SOUTH (SAN DIEGO, ORANGE AND LOS ANGELES COUNTIES)","ANYTHING/OTHER SPECIES","NOT KNOWN","","PARTY/CHARTER BOATS","NOT MANAGED","NONE","SEA BASS","BARRED SANDBASS","PARALABRAX NEBULIFER",344,"","T",.54,"",344,"","",.5574,"","","RETAINED","","BIO"
"CALIFORNIA",2009,"09/19/2009",83,400,"CHANNEL (VENTURA AND SANTA BARBARA COUNTIES)","NOT KNOWN","OCEAN <= 3 MILES (AREAB AND P1B IMPORT)","","PRIVATE/RENTAL BOATS","NOT MANAGED","NONE","SEA BASS","BARRED SANDBASS","PARALABRAX NEBULIFER",391,"","T",.52,"",391,"","",.8312,"","","RETAINED","","BIO"
"CALIFORNIA",2009,"08/23/2009",59,101,"SOUTH (SAN DIEGO, ORANGE AND LOS ANGELES COUNTIES)","ANYTHING/OTHER SPECIES","NOT KNOWN","","PARTY/CHARTER BOATS","NOT MANAGED","NONE","SEA BASS","BARRED SANDBASS","PARALABRAX NEBULIFER",313,"","T",.46,"",313,"","",.4152,"","","RETAINED","","BIO"
"CALIFORNIA",2009,"11/07/2009",59,101,"SOUTH (SAN DIEGO, ORANGE AND LOS ANGELES COUNTIES)","ANYTHING/OTHER SPECIES","NOT KNOWN","","PARTY/CHARTER BOATS","NOT MANAGED","NONE","SEA BASS","BARRED SANDBASS","PARALABRAX NEBULIFER",294,"","T",.34,"",294,"","",.3415,"","","RETAINED","","BIO"
"CALIFORNIA",2009,"11/07/2009",59,101,"SOUTH (SAN DIEGO, ORANGE AND LOS ANGELES COUNTIES)","ANYTHING/OTHER SPECIES","NOT KNOWN","","PARTY/CHARTER BOATS","NOT MANAGED","NONE","SEA BASS","BARRED SANDBASS","PARALABRAX NEBULIFER",420,"","T",1,"",420,"","",1.0391,"","","RETAINED","","BIO"
"CALIFORNIA",2009,"11/08/2009",59,310,"SOUTH (SAN DIEGO, ORANGE AND LOS ANGELES COUNTIES)","BOTTOMFISH","NOT KNOWN","","MAN-MADE/JETTY","NOT MANAGED","NONE","SEA BASS","BARRED SANDBASS","PARALABRAX NEBULIFER",264,"","T",,"",264,"","",.2441,"","","RETAINED","","BIO"
"CALIFORNIA",2009,"11/12/2009",59,106,"SOUTH (SAN DIEGO, ORANGE AND LOS ANGELES COUNTIES)","ANYTHING/OTHER SPECIES","NOT KNOWN","","PARTY/CHARTER BOATS","NOT MANAGED","NONE","SEA BASS","BARRED SANDBASS","PARALABRAX NEBULIFER",299,"","T",.31,"",299,"","",.3599,"","","RETAINED","","BIO"
"CALIFORNIA",2009,"11/12/2009",59,106,"SOUTH (SAN DIEGO, ORANGE AND LOS ANGELES COUNTIES)","ANYTHING/OTHER SPECIES","NOT KNOWN","","PARTY/CHARTER BOATS","NOT MANAGED","NONE","SEA BASS","BARRED SANDBASS","PARALABRAX NEBULIFER",338,"","T",.5,"",338,"","",.5276,"","","RETAINED","","BIO"
