Species,Number,Site,date collected,complete increments,O/T,Age,D1 (mm) (to edge),D2 (mm),D3 (mm),otolith measurement check & comments,initial oto reader (initials),checker (initials),SL (mm),FL (mm),TL (mm),whole Body mass (g),gonad mass (g),somatic mass (g),Predicted TL 2022,Predicted TL 2021,Predicted Somatic Mass (g) 2022,Predicted Somatic Mass (g) 2021,Predicted growth 2021-2022 (g),,
EMJA,2022-EMJA-BK-001,BK,5/25/22,1,O,1,3.427,2.947,0.000,"yes, MAS",RJ/MAS,,152,178,194,144.8,6.03,138.77,156,0,73.6,0.0,73.6,,
EMJA,2022-EMJA-BK-002,BK,5/25/22,1,O,1,3.187,2.654,0.000,"yes, MAS",RJ/MAS,,135,155,172,94.3,0.05,94.25,138,0,50.6,0.0,50.6,,
EMJA,2022-EMJA-BK-003,BK,5/25/22,1,O,1,3.525,3.006,0.000,"yes, MAS",RJ/MAS,,153,177,193,141.0,0.05,140.95,160,0,79.0,0.0,79.0,,
EMJA,2022-EMJA-BK-004,BK,5/25/22,1,O,1,3.265,2.966,0.000,"yes, MAS",RJ/MAS,,146,164,181,112.3,0.07,112.23,158,0,75.3,0.0,75.3,,
EMJA,2022-EMJA-BK-005,BK,5/25/22,1,O,1,3.689,3.110,0.000,"yes, MAS",RJ/MAS,,161,187,205,175.4,0.05,175.35,166,0,89.0,0.0,89.0,,
EMJA,2022-EMJA-BK-006,BK,5/25/22,1,O,1,3.328,3.094,0.000,"yes, MAS",RJ/MAS,,146,167,183,114.2,0.07,114.13,165,0,87.4,0.0,87.4,,
EMJA,2022-EMJA-BK-007,BK,5/25/22,1,O,1,3.339,3.077,0.000,"yes, MAS",RJ/MAS,,144,165,182,120.5,0.16,120.34,164,0,85.7,0.0,85.7,,
EMJA,2022-EMJA-BK-008,BK,5/25/22,1,O,1,3.380,2.908,0.000,"yes, MAS",RJ/MAS,,142,162,176,107.4,0.04,107.36,154,0,70.2,0.0,70.2,,
EMJA,2022-EMJA-BK-009,BK,5/25/22,1,O,1,3.478,3.050,0.000,"yes, MAS",RJ/MAS,,163,185,204,191.3,24.17,167.13,163,0,83.1,0.0,83.1,,
EMJA,2022-EMJA-BK-010,BK,5/25/22,1,O,1,3.290,2.630,0.000,"yes, MAS",RJ/MAS,,139,160,176,106.4,0.59,105.81,137,0,49.0,0.0,49.0,,
EMJA,2022-EMJA-BK-011,BK,5/25/22,1,O,1,3.412,2.984,0.000,"yes, MAS",RJ,,153,176,196,145.2,0.06,145.14,159,0,76.9,0.0,76.9,,
EMJA,2022-EMJA-BK-012,BK,6/8/22,1,O,1,3.506,3.155,0.000,"yes, MAS",RJ,,139,163,178,112.3,0.08,112.22,169,0,93.6,0.0,93.6,,
EMJA,2022-EMJA-BK-013,BK,6/8/22,3,O,3,4.047,3.942,3.661,"yes, MAS altered",RJ,,171,195,218,204.3,0.73,203.57,218,200,202.4,157.1,45.3,,
EMJA,2022-EMJA-BK-014,BK,6/8/22,1,O,1,3.155,2.855,0.000,"yes, MAS",MAS,,140,165,181,111.0,0.08,110.92,151,0,65.7,0.0,65.7,,
EMJA,2022-EMJA-BK-015,BK,6/8/22,2,T,3,4.020,4.020,3.601,"yes, MAS altered",RJ,,183,210,230,238.0,4.09,233.91,222,197,216.4,148.4,68.0,,
EMJA,2022-EMJA-BK-016,BK,6/8/22,1,O,1,3.160,2.472,0.000,"yes, MAS",RJ,,142,166,182,118.9,0.10,118.80,127,0,39.1,0.0,39.1,,
EMJA,2022-EMJA-BK-017,BK,6/8/22,1,O,1,3.507,3.114,0.000,"yes, MAS",RJ,,146,175,194,141.1,0.14,140.96,167,0,89.4,0.0,89.4,,
EMJA,2022-EMJA-BK-018,BK,6/8/22,1,O,1,3.484,3.265,0.000,"yes, MAS",RJ,,140,164,180,123.8,10.72,113.08,176,0,105.6,0.0,105.6,,
EMJA,2022-EMJA-BK-019,BK,6/8/22,1,O,1,3.777,3.193,0.000,"yes, MAS",RJ,,156,182,200,144.9,0.08,144.82,172,0,97.7,0.0,97.7,,
EMJA,2022-EMJA-BK-020,BK,6/8/22,1,O,1,3.554,3.132,0.000,"yes, MAS",RJ,,136,160,176,107.8,0.07,107.73,168,0,91.3,0.0,91.3,,
EMJA,2022-EMJA-BK-021,BK,6/8/22,1,O,1,2.988,2.421,0.000,"yes, MAS",RJ,,123,144,155,77.1,0.03,77.07,124,0,36.2,0.0,36.2,,
EMJA,2022-EMJA-BK-022,BK,6/8/22,1,O,1,3.112,2.689,0.000,"yes, MAS",MAS,,138,161,181,116.4,0.09,116.31,141,0,53.0,0.0,53.0,,
EMJA,2022-EMJA-BK-023,BK,6/8/22,1,O,1,3.644,3.143,0.000,"yes, MAS",RJ,,145,169,188,132.2,0.05,132.15,168,0,92.4,0.0,92.4,,
EMJA,2022-EMJA-BK-024,BK,6/8/22,1,O,1,3.058,2.448,0.000,"yes, MAS",MAS,,133,156,171,92.2,0.04,92.16,126,0,37.7,0.0,37.7,,
EMJA,2022-EMJA-BK-025,BK,6/8/22,1,O,1,3.198,2.590,0.000,"yes, MAS",RJ,,143,167,185,111.9,0.14,111.76,134,0,46.3,0.0,46.3,,
EMJA,2022-EMJA-BK-026,BK,6/8/22,1,O,1,3.498,3.098,0.000,"yes, MAS",RJ,,150,175,191,136.6,4.91,131.69,166,0,87.8,0.0,87.8,,
EMJA,2022-EMJA-BK-027,BK,6/8/22,5,O,5,4.054,3.970,3.843,"yes, MAS",MAS,,188,206,235,277.8,0.82,276.98,219,211,207.4,185.6,21.8,,
EMJA,2022-EMJA-BK-028,BK,6/8/22,1,O,1,3.114,2.369,0.000,"yes, MAS",RJ,,135,159,175,108.1,0.15,107.95,121,0,33.4,0.0,33.4,,
