Species,Number,Site,date collected,complete increments,O/T,Age,D1 (mm) (to edge),D2 (mm),D3 (mm),otolith measurement check & comments,initial oto reader (initials),checker (initials),SL (mm),FL (mm),TL (mm),whole Body mass (g),gonad mass (g),somatic mass (g),Predicted TL 2022,Predicted TL 2021,Predicted Somatic Mass (g) 2022,Predicted Somatic Mass (g) 2021,Predicted growth 2021-2022 (g)
OXCA,2022-OXCA-BK-001,BK,5/25/22,4,O,4,1.531,1.488,1.352,"yes, MAS altered",AV,,167,.,199,72.7,5.49,67.2,197,183,65.6,52.1,13.5
OXCA,2022-OXCA-BK-002,BK,5/25/22,4,O,4,1.545,1.5,1.403,"yes, MAS altered",AV,,167,.,198,78.7,8.97,69.7,199,189,66.9,56.9,10
OXCA,2022-OXCA-BK-003,BK,5/25/22,3,T,4,,,,"don’t use, deformed",AV,,194,.,230,122.1,8.31,113.8,,0,,,
OXCA,2022-OXCA-BK-004,BK,5/25/22,4,T,5,1.587,1.587,1.508,"yes, MAS",AV,,205,.,241,139.7,9.82,129.9,207,199,76.8,67.8,9
OXCA,2022-OXCA-BK-005,BK,5/25/22,4,T,5,1.72,1.72,1.602,"yes, MAS altered",AV,,184,.,213,117.2,6.83,110.4,221,209,93.8,78.6,15.2
OXCA,2022-OXCA-BK-006,BK,5/25/22,1,T,2,1.235,1.235,1.154,"yes, MAS",AV,,145,.,171,42.6,5.46,37.1,171,163,42.2,36.1,6.1
OXCA,2022-OXCA-BK-007,BK,5/25/22,1,T,2,1.189,1.189,1.091,"yes, MAS altered",AV,,124,.,148,27.3,1.82,25.5,167,157,38.6,31.8,6.9
OXCA,2022-OXCA-BK-008,BK,5/25/22,2,T,3,1.4,1.4,1.271,"yes, MAS altered",AV,,151,.,177,50.2,4.54,45.7,188,175,56.7,45.1,11.6
OXCA,2022-OXCA-BK-009,BK,5/25/22,3,T,4,1.527,1.527,1.442,"yes, MAS altered",AV,,185,.,220,94.6,10.17,84.4,201,193,69.9,60.8,9.1
OXCA,2022-OXCA-BK-010,BK,5/25/22,2,O,2,1.249,1.22,1.154,"yes, MAS",AV,,165,.,192,66.6,6.8,59.8,170,163,41,36.1,4.9
OXCA,2022-OXCA-BK-011,BK,5/25/22,4,T,5,1.67,1.67,1.587,"yes, MAS altered",AV,,193,.,225,101.2,3.5,97.7,216,207,87.2,76.8,10.3
OXCA,2022-OXCA-BK-012,BK,5/25/22,3,O,3,1.414,1.387,1.301,"yes, MAS",AV,,169,.,197,69.3,4.85,64.5,187,178,55.4,47.6,7.8
OXCA,2022-OXCA-BK-013,BK,5/25/22,,,,,,,"don’t use, deformed",AV,,174,.,205,76.9,7.25,69.7,,0,,,
OXCA,2022-OXCA-BK-014,BK,5/25/22,4,O,4,1.802,1.764,1.697,"yes, MAS altered",AV,,190,.,230,104.3,10.41,93.9,226,219,100,90.7,9.2
OXCA,2022-OXCA-BK-015,BK,5/25/22,4,T,5,1.418,1.418,1.329,"yes, MAS altered",AV,,197,.,237,122.4,7.27,115.1,190,181,58.4,50.1,8.4
OXCA,2022-OXCA-BK-016,BK,5/25/22,3,T,4,1.533,1.533,1.469,"yes, MAS altered",AV,,177,.,205,81.7,8.08,73.6,202,195,70.6,63.6,7
OXCA,2022-OXCA-BK-017,BK,5/25/22,4,O,4,1.627,1.588,1.4,"yes, MAS altered",AV,,185,.,219,99.9,11.56,88.3,208,188,76.9,56.7,20.3
OXCA,2022-OXCA-BK-018,BK,5/25/22,3,O,3,1.307,1.294,1.212,"yes, MAS altered",AV,,164,.,191,69.9,4.66,65.2,177,169,47,40.4,6.6
OXCA,2022-OXCA-BK-019,BK,5/25/22,1,T,2,1.217,1.217,1.093,"yes, MAS altered",AV,,148,.,177,56.1,4.87,51.2,170,157,40.7,31.9,8.8
OXCA,2022-OXCA-BK-020,BK,5/25/22,,,,,,,"don’t use, deformed",AV,,174,.,207,79.3,6.12,73.2,,0,,,
OXCA,2022-OXCA-BK-021,BK,5/25/22,6,T,7,1.724,1.724,1.644,"yes, MAS altered",AV,,200,.,236,123.8,6.04,117.8,222,213,94.4,83.8,10.5
OXCA,2022-OXCA-BK-022,BK,5/25/22,3,O,3,1.457,1.395,1.291,"yes, MAS altered",AV,,166,.,195,68.9,7.03,61.9,188,177,56.2,46.8,9.4
OXCA,2022-OXCA-BK-023,BK,5/25/22,1,T,2,1.157,1.157,1.094,"yes, MAS",AV,,147,.,173,47.3,3.59,43.7,163,157,36.3,32,4.3
OXCA,2022-OXCA-BK-024,BK,5/25/22,4,T,5,1.566,1.566,1.484,"yes, MAS altered",AV,,194,.,227,110.4,5.68,104.7,205,197,74.3,65.2,9.1
OXCA,2022-OXCA-BK-025,BK,5/25/22,3,O,3,1.564,1.526,1.421,"yes, MAS",AV,,195,.,226,116.2,9.54,106.7,201,190,69.8,58.7,11.1
OXCA,2022-OXCA-BK-026,BK,6/8/22,4,O,4,1.912,1.876,1.662,"yes, MAS altered",AV,,184,.,214,105.2,5.64,99.6,237,215,116.8,86.1,30.7
OXCA,2022-OXCA-BK-027,BK,6/8/22,4,T,5,1.553,1.553,1.495,"yes, MAS",AV,,194,.,229,133,10.87,122.1,204,198,72.8,66.4,6.5
OXCA,2022-OXCA-BK-028,BK,6/8/22,2,O,2,1.314,1.314,1.246,"yes, MAS",AV,,163,.,191,62.7,4.32,58.4,179,172,48.7,43,5.7
OXCA,2022-OXCA-BK-029,BK,6/8/22,3,O,3,1.645,1.598,1.537,"yes, MAS",AV,,196,.,231,141.6,15.6,126,209,202,78.1,71,7.1
OXCA,2022-OXCA-BK-030,BK,6/8/22,4,O,4,1.616,1.564,1.506,"yes, MAS",AV,,186,.,222,107.2,12.57,94.6,205,199,74.1,67.6,6.5
OXCA,2022-OXCA-BK-031,BK,6/8/22,4,T,5,1.543,1.543,1.459,"yes, MAS altered",AV,,199,.,239,126.9,11.25,115.7,203,194,71.7,62.6,9.1
OXCA,2022-OXCA-BK-032,BK,6/8/22,3,T,4,1.548,1.548,1.431,"yes, MAS",AV,,185,.,218,104.6,8.68,95.9,203,191,72.3,59.7,12.6
OXCA,2022-OXCA-BK-033,BK,6/8/22,4,T,5,1.866,1.849,1.761,"yes, MAS altered",AV,,183,.,215,89.5,4.57,84.9,234,225,112.6,99.5,13.1
OXCA,2022-OXCA-BK-034,BK,6/8/22,3,O,3,1.634,1.6,1.521,"yes, MAS",AV,,184,.,219,88.5,6.08,82.4,209,201,78.4,69.2,9.2
OXCA,2022-OXCA-BK-035,BK,6/8/22,5,O,5,1.862,1.815,1.76,"yes, MAS",AV,,206,.,246,158.7,16.99,141.7,231,225,107.4,99.4,8
OXCA,2022-OXCA-BK-036,BK,6/8/22,3,O,3,1.341,1.339,1.275,"yes, MAS",AV,,167,.,199,68.5,6.6,61.9,182,175,51,45.4,5.5
OXCA,2022-OXCA-BK-037,BK,6/8/22,3,T,4,1.705,1.705,1.622,"yes, MAS",AV,,187,.,222,107.4,10.1,97.3,220,211,91.8,81.1,10.7
