Species,Number,Site,date collected,complete increments,O/T,Age,D1 (mm) (to edge),D2 (mm),D3 (mm),otolith measurement check & comments,initial oto reader (initials),checker (initials),SL (mm),FL (mm),TL (mm),whole Body mass (g),gonad mass (g),somatic mass (g),Predicted TL 2022,Predicted TL 2021,Predicted Somatic Mass (g) 2022,Predicted Somatic Mass (g) 2021,Predicted growth 2021-2022 (g),,,,,,,,,,,,,,,,,,,,,,,,,,,
PACL,2022-PACL-BK-001,BK,5/25/22,8,O,8,4.883,4.796,4.629,"yes, MAS altered",KR,MAS,253,299,314,395.4,9.81,385.6,298,287,317.3,281.7,35.6,,,,,,,,,,,,,,,,,#NAME?,#NAME?,5.735,5.545,,,,,,,
PACL,2022-PACL-BK-002,BK,5/25/22,6,T,7,4.395,4.395,4.062,"yes, MAS altered",KR,MAS,232,276,287,285.4,3.26,282.1,271,249,236.4,181.0,55.5,,,,,,,,,,,,,,,,,0.022,6.0043256,6.097,5.982,,,,,,,
PACL,2022-PACL-BK-003,BK,5/25/22,5,T,6,5.402,5.402,4.836,"yes, MAS altered",KR,MAS,267,320,337,510.6,16.38,494.2,338,300,472.1,326.2,145.9,,,,,,,,,,,,,,,,,0.087,5.642904,5.730,5.556,,,,,,,
PACL,2022-PACL-BK-004,BK,5/25/22,4,O,4,4.220,4.181,3.960,"yes, MAS altered",KR,MAS,204,243,251,202.8,3.04,199.8,257,242,199.7,166.0,33.7,,,,,,,,,,,,,,,,,-0.006,4.7743104,4.848,4.780,,,,,,,
PACL,2022-PACL-BK-005,BK,5/25/22,5,T,6,4.855,4.849,4.626,"yes, MAS altered",KR,MAS,235,276,285,325.7,18.90,306.8,301,286,329.2,281.1,48.1,,,,,,,,,,,,,,,,,-0.003,5.1682304,5.248,5.171,,,,,,,
PACL,2022-PACL-BK-006,BK,5/25/22,9,T,10,5.621,5.508,5.303,"yes, MAS altered",KR,MAS,308,364,379,717.0,34.51,682.5,346,332,503.7,443.9,59.8,,,,,,,,,,,,,,,,,0.021,4.7132528,4.786,4.692,,,,,,,
PACL,2022-PACL-BK-007,BK,5/25/22,10,T,11,6.228,6.228,6.073,"yes, MAS altered",KR,MAS,310,371,385,823.8,42.64,781.2,394,383,756.2,695.9,60.3,,,,,,,,,,,,,,,,,-0.005,5.2479992,5.329,5.253,,,,,,,
PACL,2022-PACL-BK-008,BK,5/25/22,5,T,6,5.042,5.042,4.640,"yes, MAS altered",KR,MAS,282,329,342,466.8,15.12,451.7,314,287,375.2,283.9,91.2,,,,,,,,,,,,,,,,,-0.034,4.6472712,4.719,4.681,,,,,,,
PACL,2022-PACL-BK-009,BK,5/25/22,6,O,6,5.632,5.540,5.360,"yes, MAS altered",KR,MAS,264,313,323,476.2,9.44,466.8,348,336,513.4,460.0,53.4,,,,,,,,,,,,,,,,,0.004,4.9949056,5.072,4.991,,,,,,,
PACL,2022-PACL-BK-010,BK,5/25/22,9,T,10,6.098,5.716,5.320,"yes, MAS altered",KR,MAS,303,360,370,708.3,61.22,647.1,360,333,569.6,448.8,120.8,,,,,,,,,,,,,,,,,0.011,5.5395,5.625,5.529,,,,,,,
