Species,Number,Site,date collected,complete increments,O/T,Age,D1 (mm) (to edge),D2 (mm),D3 (mm),otolith measurement check & comments,initial oto reader (initials),checker (initials),SL (mm),FL (mm),TL (mm),whole Body mass (g),gonad mass (g),somatic mass (g),Predicted TL 2022,Predicted TL 2021,Predicted Somatic Mass (g) 2022,Predicted Somatic Mass (g) 2021,Predicted growth 2021-2022 (g)
SEPU,2022-SEPU-BK-001,BK,5/25/22,4,O,4,2.983,2.871,2.511,"yes, MAS altered",RJ,,219,259,270,317.5,11.06,306.4,254,223,261.2,177.7,83.6
SEPU,2022-SEPU-BK-002,BK,5/25/22,5,T,6,2.993,2.993,2.830,"yes, MAS altered",RJ,,215,251,260,296.4,5.57,290.8,264,250,294.5,250.6,43.9
SEPU,2022-SEPU-BK-003,BK,5/25/22,5,T,6,3.402,3.402,3.253,"yes, MAS altered",RJ,,235,282,291,409.0,16.30,392.7,299,286,426.8,374.8,52.0
SEPU,2022-SEPU-BK-004,BK,5/25/22,7,T,8,3.180,3.180,3.081,"yes, MAS altered",RJ,,247,294,305,475.7,18.20,457.5,280,271,351.0,320.3,30.7
SEPU,2022-SEPU-BK-005,BK,5/25/22,7,T,8,3.395,3.395,3.310,"yes, MAS altered",RJ,,259,305,319,529.1,20.84,508.3,298,291,424.3,394.2,30.1
SEPU,2022-SEPU-BK-006,BK,5/25/22,3,T,4,2.503,2.503,2.347,"yes, MAS altered",RJ,,193,228,235,208.2,1.01,207.2,223,209,176.1,146.5,29.6
SEPU,2022-SEPU-BK-007,BK,5/25/22,5,T,6,3.353,3.353,3.251,"yes, MAS altered",RJ,,223,265,275,361.5,11.13,350.4,294,286,409.2,374.1,35.1
SEPU,2022-SEPU-BK-008,BK,5/25/22,3,T,4,2.866,2.866,2.718,"yes, MAS altered",RJ,,191,229,238,226.4,1.77,224.6,253,241,259.9,223.0,36.9
SEPU,2022-SEPU-BK-009,BK,5/25/22,6,T,7,3.338,3.338,3.143,"yes, MAS altered",RJ,,265,310,322,580.2,32.46,547.7,293,277,403.9,339.4,64.5
SEPU,2022-SEPU-BK-010,BK,5/25/22,5,T,6,3.400,3.400,3.128,"yes, MAS altered",RJ,,224,262,273,361.2,18.71,342.5,298,275,426.1,334.6,91.5
SEPU,2022-SEPU-BK-011,BK,5/25/22,6,O,6,3.076,2.968,2.852,"yes, MAS altered",RJ,,234,275,286,444.7,27.00,417.7,262,252,287.6,256.3,31.3
SEPU,2022-SEPU-BK-012,BK,5/25/22,5,O,5,2.859,2.755,2.529,"yes, MAS altered",RJ,,206,246,257,302.9,17.14,285.8,244,225,231.9,181.4,50.6
SEPU,2022-SEPU-BK-013,BK,6/8/22,8,O,8,3.460,3.397,3.265,"yes, MAS altered",RJ,,223,267,277,371.9,23.10,348.8,298,287,425.0,378.8,46.2
SEPU,2022-SEPU-BK-014,BK,6/8/22,5,O,5,3.251,3.156,2.922,"yes, MAS altered",RJ,,222,265,275,356.7,16.78,339.9,278,258,343.3,274.8,68.5
SEPU,2022-SEPU-BK-015,BK,6/8/22,6,O,6,3.209,3.102,2.987,"yes, MAS altered",RJ,,212,253,260,307.2,20.15,287.1,273,263,326.6,292.8,33.8
SEPU,2022-SEPU-BK-016,BK,6/8/22,8,O,8,3.374,3.259,3.077,"yes, MAS altered",RJ,,238,281,293,460.0,23.37,436.6,286,271,376.8,319.0,57.9
SEPU,2022-SEPU-BK-017,BK,6/8/22,6,O,6,3.122,3.039,2.922,"yes, MAS altered",RJ,,225,268,278,382.4,21.34,361.1,268,258,307.8,274.9,32.9
SEPU,2022-SEPU-BK-018,BK,6/8/22,7,O,7,3.265,3.130,2.859,"yes, MAS altered",RJ,,224,263,273,362.3,27.15,335.2,276,253,335.2,258.1,77.2
SEPU,2022-SEPU-BK-019,BK,6/8/22,6,O,6,3.147,3.050,2.940,"yes, MAS altered",RJ,,220,262,272,359.5,14.85,344.7,269,260,311.0,279.7,31.3
SEPU,2022-SEPU-BK-020,BK,6/8/22,7,O,7,3.475,3.352,3.026,"yes, MAS altered",RJ,,225,271,279,363.9,9.94,354.0,294,267,408.9,304.0,104.8
SEPU,2022-SEPU-BK-021,BK,6/8/22,5,O,5,3.284,3.108,2.725,"yes, MAS altered",RJ,,244,287,299,446.4,24.69,421.7,274,241,328.5,224.8,103.7
SEPU,2022-SEPU-BK-022,BK,6/8/22,7,O,7,3.045,2.980,2.885,"yes, MAS altered",RJ,,216,259,267,328.0,20.04,308.0,263,255,290.9,265.0,25.9
SEPU,2022-SEPU-BK-023,BK,6/8/22,9,O,9,3.599,3.471,3.386,"yes, MAS altered",RJ,,230,273,285,388.6,13.50,375.1,304,297,452.4,421.1,31.3
SEPU,2022-SEPU-BK-024,BK,7/7/22,5,O,5,3.359,3.193,2.947,"yes, MAS altered",RJ,,226,266,276,340.7,17.90,322.8,281,260,355.1,281.7,73.5
SEPU,2022-SEPU-BK-025,BK,7/7/22,8,O,8,3.833,3.731,3.588,"yes, MAS altered",RJ,,277,331,340,689.1,36.78,652.3,326,314,558.2,498.2,60.0
SEPU,2022-SEPU-BK-026,BK,7/7/22,4,O,4,2.831,2.694,2.470,"yes, MAS altered",RJ,,205,243,251,245.2,9.28,235.9,239,220,217.5,169.5,47.9
SEPU,2022-SEPU-BK-027,BK,7/7/22,5,O,5,3.325,3.242,3.106,"yes, MAS altered",RJ,,233,279,287,388.7,14.87,373.8,285,274,371.2,327.8,43.3
SEPU,2022-SEPU-BK-028,BK,7/7/22,6,T,7,3.108,3.108,2.888,"yes, MAS",RJ,,229,272,283,355.0,13.95,341.1,274,255,328.5,265.7,62.7
SEPU,2022-SEPU-BK-029,BK,7/7/22,6,T,7,3.373,3.373,3.202,"yes, MAS altered",RJ,,252,290,309,473.3,22.78,450.5,296,282,416.3,358.0,58.3
SEPU,2022-SEPU-BK-030,BK,7/7/22,8,O,8,3.399,3.306,3.136,"yes, MAS altered",RJ,,252,298,311,496.3,26.70,469.6,290,276,392.8,337.1,55.7
SEPU,2022-SEPU-BK-031,BK,7/7/22,5,T,6,3.120,3.120,3.009,"yes, MAS",RJ,,215,257,267,333.9,16.80,317.1,275,265,332.1,299.0,33.2
SEPU,2022-SEPU-BK-032,BK,7/7/22,8,O,8,3.823,3.774,3.582,"yes, MAS altered",RJ,,247,293,305,473.9,22.81,451.1,330,314,577.2,495.8,81.4
SEPU,2022-SEPU-BK-033,BK,7/7/22,8,T,9,3.665,3.665,3.511,"yes, MAS altered",RJ,,243,290,303,498.5,18.31,480.2,321,308,529.9,467.6,62.4
SEPU,2022-SEPU-BK-034,BK,7/7/22,,,,,,,"don't use, no otoliths",RJ,,295,342,354,775.3,45.87,729.4,,0,,,
SEPU,2022-SEPU-BK-035,BK,7/7/22,6,T,7,3.369,3.369,3.198,"yes, MAS altered",RJ,,234,279,,,19.78,,296,281,414.9,356.7,58.2
SEPU,2022-SEPU-BK-036,BK,7/7/22,5,T,6,3.321,3.321,3.091,"yes, MAS altered",RJ,,246,296,,,26.13,,292,272,398.0,323.4,74.6
SEPU,2022-SEPU-BK-037,BK,8/10/22,5,O,5,2.876,2.764,2.604,"yes, MAS altered",RJ,,203,242,256,266.0,8.09,257.9,245,231,234.1,197.3,36.9
SEPU,2022-SEPU-BK-038,BK,8/10/22,4,T,5,2.835,2.835,2.597,"yes, MAS altered",RJ,,182,219,226,187.2,1.57,185.6,251,231,251.9,195.7,56.1
SEPU,2022-SEPU-BK-039,BK,8/10/22,5,O,5,2.786,2.709,2.563,"yes, MAS altered",RJ,,205,243,250,255.9,10.71,245.2,240,228,221.0,188.5,32.5
SEPU,2022-SEPU-BK-040,BK,8/10/22,4,O,4,2.934,2.786,2.571,"yes, MAS altered",RJ,,195,235,243,231.2,6.49,224.7,246,228,239.5,190.2,49.4
SEPU,2022-SEPU-BK-041,BK,8/10/22,4,O,4,2.644,2.540,2.348,"yes, MAS altered",RJ,,175,213,225,173.2,1.19,172.0,226,209,183.7,146.7,37.0
SEPU,2022-SEPU-BK-042,BK,8/10/22,5,O,5,3.283,3.142,2.998,"yes, MAS altered",RJ,,233,278,292,429.4,23.63,405.8,277,264,339.0,296.0,43.0
SEPU,2022-SEPU-BK-043,BK,8/10/22,3,T,4,2.656,2.656,2.496,"yes, MAS altered",RJ,,185,222,228,185.2,1.92,183.3,236,222,208.8,174.7,34.1
SEPU,2022-SEPU-BK-044,BK,8/10/22,7,T,8,3.778,3.778,3.538,"yes, MAS altered",RJ,,310,365,378,953.5,3.07,950.4,330,310,578.9,478.3,100.6
SEPU,2022-SEPU-BK-045,BK,8/10/22,4,T,5,2.505,2.505,2.290,"yes, MAS altered",RJ,,210,250,256,276.5,8.57,267.9,223,205,176.5,136.6,39.9
SEPU,2022-SEPU-BK-046,BK,8/10/22,5,T,6,3.414,3.414,3.275,"yes, MAS altered",RJ,,243,290,304,480.7,22.46,458.2,300,288,431.2,382.1,49.1
SEPU,2022-SEPU-BK-047,BK,8/10/22,5,T,6,3.207,3.207,3.042,"yes, MAS altered",RJ,,216,257,267,316.8,19.30,297.5,282,268,359.7,308.6,51.1
SEPU,2022-SEPU-BK-048,BK,8/10/22,6,T,7,3.645,3.645,3.496,"yes, MAS altered",RJ,,267,313,331,561.9,29.51,532.4,319,307,521.6,461.9,59.6
SEPU,2022-SEPU-BK-049,BK,8/10/22,5,T,6,3.332,3.332,3.161,"yes, MAS altered",RJ,,250,295,309,464.4,28.07,436.3,293,278,401.8,344.8,57.0
SEPU,2022-SEPU-BK-050,BK,8/10/22,7,T,8,3.458,3.458,3.313,"yes, MAS altered",RJ,,250,297,310,482.7,23.47,459.2,303,291,447.5,395.2,52.3
SEPU,2022-SEPU-BK-051,BK,8/17/22,,,,,,,"don't use, broken",RJ,,195,234,242,231.1,13.19,217.9,,0,,,
SEPU,2022-SEPU-BK-052,BK,8/17/22,6,O,6,3.226,3.133,3.033,"yes, MAS altered",RJ,,225,268,279,354.6,16.69,337.9,276,267,336.2,306.0,30.1
SEPU,2022-SEPU-BK-053,BK,8/17/22,6,O,6,3.495,3.381,3.211,"yes, MAS altered",RJ,,224,267,274,333.3,18.05,315.3,297,282,419.2,360.9,58.3
SEPU,2022-SEPU-BK-054,BK,8/17/22,4,T,5,3.275,3.275,3.152,"don't use, poor structure",RJ,,207,246,256,275.6,14.34,261.3,,,,,
SEPU,2022-SEPU-BK-055,BK,8/17/22,6,T,7,3.365,3.365,2.982,"don't use, poor structure",RJ,,230,279,293,467.1,0.24,466.9,,,,,
SEPU,2022-SEPU-BK-056,BK,8/17/22,7,O,7,3.036,2.920,2.787,"yes, MAS altered",RJ,,195,230,239,232.4,13.70,218.7,258,247,274.3,239.8,34.5
SEPU,2022-SEPU-BK-057,BK,8/17/22,6,O,6,3.198,3.092,2.944,"yes, MAS altered",RJ,,237,283,295,457.4,27.80,429.6,272,260,323.6,280.9,42.7
SEPU,2022-SEPU-BK-058,BK,8/17/22,6,O,6,3.490,3.373,3.238,"yes, MAS altered",RJ,,234,279,289,415.1,18.18,396.9,296,285,416.3,369.8,46.5
SEPU,2022-SEPU-BK-059,BK,8/17/22,9,O,9,3.540,3.471,3.363,"yes, MAS altered",RJ,,241,291,303,456.3,24.69,431.6,304,295,452.4,412.8,39.7
SEPU,2022-SEPU-BK-060,BK,8/17/22,6,T,7,3.108,3.108,2.983,"yes, MAS altered",RJ,,225,268,280,343.1,18.89,324.2,274,263,328.5,291.6,36.8
SEPU,2022-SEPU-BK-061,BK,8/17/22,,,,,,,"don't use, broken",RJ,,220,263,273,317.6,14.78,302.8,,0,,,
SEPU,2022-SEPU-BK-062,BK,8/17/22,4,O,4,2.855,2.740,2.519,"yes, MAS altered",RJ,,185,224,231,210.0,8.49,201.5,243,224,228.3,179.3,49.0
SEPU,2022-SEPU-BK-063,BK,8/30/22,5,O,5,3.222,3.062,2.801,"yes, MAS altered",RJ,,215,260,270,328.3,8.12,320.2,270,248,314.6,243.3,71.3
SEPU,2022-SEPU-BK-064,BK,8/30/22,4,O,4,2.991,2.764,2.488,"yes, MAS altered",RJ,,186,225,234,216.3,2.17,214.1,245,221,234.1,173.1,61.0
SEPU,2022-SEPU-BK-065,BK,8/30/22,8,O,8,3.265,3.217,3.106,"yes, MAS altered",RJ,,224,268,276,335.5,7.00,328.5,283,274,362.9,327.8,35.1
SEPU,2022-SEPU-BK-066,BK,8/30/22,6,O,6,3.235,3.161,2.980,"yes, MAS altered",RJ,,208,250,256,273.4,14.42,259.0,278,263,344.9,290.9,54.1
SEPU,2022-SEPU-BK-067,BK,8/30/22,7,O,7,3.283,3.234,3.093,"yes, MAS altered",RJ,,220,262,271,345.4,20.70,324.7,284,272,368.5,323.9,44.6
SEPU,2022-SEPU-BK-068,BK,8/30/22,4,O,4,2.826,2.717,2.479,"yes, MAS altered",RJ,,192,229,234,220.4,8.83,211.6,241,221,222.9,171.3,51.6
SEPU,2022-SEPU-BK-069,BK,8/30/22,7,O,7,3.133,3.023,2.944,"yes, MAS altered",RJ,,224,265,271,348.8,15.42,333.4,267,260,303.2,280.8,22.3
SEPU,2022-SEPU-BK-070,BK,8/30/22,6,O,6,3.260,3.166,3.027,"yes, MAS altered",RJ,,211,253,259,276.0,9.03,267.0,279,267,346.5,304.3,42.2
SEPU,2022-SEPU-BK-071,BK,9/13/22,5,O,5,2.722,2.572,2.328,"yes, MAS altered",RJ,,201,240,250,230.3,5.99,224.3,228,208,190.4,143.1,47.2
SEPU,2022-SEPU-BK-072,BK,9/13/22,6,O,6,3.229,3.153,2.818,"yes, MAS altered",RJ,,220,261,273,331.5,14.55,317.0,278,249,342.4,247.6,94.9
SEPU,2022-SEPU-BK-073,BK,9/13/22,6,O,6,3.143,2.992,2.783,"yes, MAS altered",RJ,,220,267,278,361.4,12.66,348.7,264,246,294.3,238.8,55.5
